"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,198,36,29
2020-04-02,234,44,35
2020-04-03,268,51,41
2020-04-04,306,58,46
2020-04-05,341,65,52
2020-04-06,378,73,59
2020-04-07,423,81,65
2020-04-08,457,89,71
2020-04-09,507,96,77
2020-04-10,553,103,82
2020-04-11,597,109,87
2020-04-12,638,114,91
2020-04-13,677,119,95
2020-04-14,711,122,98
2020-04-15,742,125,100
2020-04-16,767,126,101
2020-04-17,786,127,102
2020-04-18,800,126,101
2020-04-19,809,125,100
2020-04-20,811,123,98
2020-04-21,808,120,96
2020-04-22,800,116,93
2020-04-23,787,112,89
2020-04-24,769,107,86
2020-04-25,748,102,82
2020-04-26,724,97,78
2020-04-27,696,92,73
2020-04-28,667,86,69
2020-04-29,636,81,65
2020-04-30,604,76,61
2020-05-01,571,71,57
2020-05-02,539,66,53
2020-05-03,506,61,49
2020-05-04,475,57,46
2020-05-05,443,53,42
2020-05-06,413,49,39
2020-05-07,385,45,36
2020-05-08,358,42,33
2020-05-09,333,39,31
2020-05-10,309,36,29
2020-05-11,286,33,26
2020-05-12,264,30,24
2020-05-13,243,28,22
2020-05-14,223,25,20
2020-05-15,204,23,18
2020-05-16,186,21,17
2020-05-17,170,18,15
2020-05-18,155,16,13
2020-05-19,141,15,12
2020-05-20,129,13,11
2020-05-21,118,12,10
2020-05-22,108,11,9
2020-05-23,98,11,9
2020-05-24,90,10,8
2020-05-25,82,9,7
2020-05-26,75,9,7
2020-05-27,69,8,7
2020-05-28,64,8,6
2020-05-29,60,7,6
2020-05-30,56,7,5
2020-05-31,52,6,5
2020-06-01,48,6,5
2020-06-02,44,5,4
2020-06-03,40,5,4
2020-06-04,36,4,3
2020-06-05,33,3,3
2020-06-06,29,3,2
2020-06-07,25,2,2
2020-06-08,22,2,1
2020-06-09,19,1,1
2020-06-10,16,1,1
2020-06-11,13,1,1
2020-06-12,11,0,0
2020-06-13,9,0,0
2020-06-14,7,0,0
2020-06-15,5,0,0
2020-06-16,4,0,0
2020-06-17,3,0,0
2020-06-18,2,0,0
2020-06-19,1,0,0
2020-06-20,1,0,0
2020-06-21,1,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
