"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,174,36,29
2020-04-02,213,45,36
2020-04-03,260,55,44
2020-04-04,313,66,53
2020-04-05,374,78,62
2020-04-06,437,91,73
2020-04-07,513,105,84
2020-04-08,587,120,96
2020-04-09,676,135,108
2020-04-10,766,151,121
2020-04-11,860,167,134
2020-04-12,955,183,146
2020-04-13,1050,198,159
2020-04-14,1143,212,170
2020-04-15,1234,225,180
2020-04-16,1319,236,189
2020-04-17,1398,245,196
2020-04-18,1469,253,202
2020-04-19,1531,258,206
2020-04-20,1582,260,208
2020-04-21,1621,261,209
2020-04-22,1650,260,208
2020-04-23,1666,257,205
2020-04-24,1670,252,201
2020-04-25,1662,245,196
2020-04-26,1644,237,190
2020-04-27,1616,229,183
2020-04-28,1580,219,175
2020-04-29,1535,209,167
2020-04-30,1484,198,158
2020-05-01,1427,187,150
2020-05-02,1366,176,141
2020-05-03,1302,166,132
2020-05-04,1236,155,124
2020-05-05,1169,145,116
2020-05-06,1102,135,108
2020-05-07,1036,126,100
2020-05-08,971,117,93
2020-05-09,908,108,86
2020-05-10,847,100,80
2020-05-11,789,93,74
2020-05-12,733,86,68
2020-05-13,680,79,63
2020-05-14,630,73,58
2020-05-15,582,67,53
2020-05-16,539,62,49
2020-05-17,499,57,46
2020-05-18,461,53,42
2020-05-19,426,48,39
2020-05-20,392,45,36
2020-05-21,360,41,33
2020-05-22,330,37,30
2020-05-23,302,34,27
2020-05-24,277,31,25
2020-05-25,253,28,22
2020-05-26,231,25,20
2020-05-27,211,23,18
2020-05-28,193,21,17
2020-05-29,177,19,15
2020-05-30,163,18,14
2020-05-31,149,16,13
2020-06-01,136,15,12
2020-06-02,124,14,11
2020-06-03,113,13,10
2020-06-04,104,12,10
2020-06-05,96,11,9
2020-06-06,89,10,8
2020-06-07,83,10,8
2020-06-08,77,9,7
2020-06-09,72,9,7
2020-06-10,67,8,6
2020-06-11,63,8,6
2020-06-12,58,7,6
2020-06-13,54,7,5
2020-06-14,50,6,5
2020-06-15,47,6,4
2020-06-16,43,5,4
2020-06-17,39,4,4
2020-06-18,36,4,3
2020-06-19,32,3,3
2020-06-20,29,3,2
2020-06-21,26,2,2
2020-06-22,22,2,2
2020-06-23,19,1,1
2020-06-24,17,1,1
2020-06-25,14,1,1
2020-06-26,12,1,1
2020-06-27,9,0,0
2020-06-28,8,0,0
2020-06-29,6,0,0
2020-06-30,5,0,0
2020-07-01,4,0,0
2020-07-02,3,0,0
2020-07-03,2,0,0
2020-07-04,1,0,0
2020-07-05,1,0,0
2020-07-06,1,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
