"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,1716,340,272
2020-04-02,1968,388,310
2020-04-03,2242,440,352
2020-04-04,2548,498,398
2020-04-05,2893,561,449
2020-04-06,3260,627,502
2020-04-07,3660,700,560
2020-04-08,4091,777,622
2020-04-09,4551,859,687
2020-04-10,5039,944,755
2020-04-11,5558,1034,827
2020-04-12,6102,1127,901
2020-04-13,6671,1223,978
2020-04-14,7262,1321,1057
2020-04-15,7872,1420,1136
2020-04-16,8498,1521,1216
2020-04-17,9136,1622,1297
2020-04-18,9780,1722,1377
2020-04-19,10427,1821,1456
2020-04-20,11072,1917,1533
2020-04-21,11706,2009,1607
2020-04-22,12332,2098,1678
2020-04-23,12943,2183,1746
2020-04-24,13524,2260,1808
2020-04-25,14083,2331,1865
2020-04-26,14610,2397,1918
2020-04-27,15099,2454,1964
2020-04-28,15546,2505,2005
2020-04-29,15948,2546,2037
2020-04-30,16302,2579,2064
2020-05-01,16602,2602,2082
2020-05-02,16847,2616,2094
2020-05-03,17030,2619,2096
2020-05-04,17152,2611,2089
2020-05-05,17218,2595,2076
2020-05-06,17221,2568,2055
2020-05-07,17161,2533,2027
2020-05-08,17042,2488,1990
2020-05-09,16864,2435,1948
2020-05-10,16626,2375,1899
2020-05-11,16339,2310,1847
2020-05-12,15992,2236,1788
2020-05-13,15595,2155,1723
2020-05-14,15162,2071,1656
2020-05-15,14679,1981,1585
2020-05-16,14163,1888,1510
2020-05-17,13613,1792,1433
2020-05-18,13041,1694,1355
2020-05-19,12445,1595,1276
2020-05-20,11836,1498,1198
2020-05-21,11216,1402,1121
2020-05-22,10580,1303,1042
2020-05-23,9949,1209,967
2020-05-24,9323,1117,894
2020-05-25,8700,1028,822
2020-05-26,8087,942,754
2020-05-27,7493,860,688
2020-05-28,6916,780,624
2020-05-29,6351,705,564
2020-05-30,5817,636,509
2020-05-31,5305,570,456
2020-06-01,4821,509,407
2020-06-02,4363,453,362
2020-06-03,3933,401,321
2020-06-04,3528,354,283
2020-06-05,3154,311,248
2020-06-06,2813,272,217
2020-06-07,2495,237,190
2020-06-08,2204,206,165
2020-06-09,1941,178,142
2020-06-10,1701,153,122
2020-06-11,1484,131,105
2020-06-12,1290,112,89
2020-06-13,1119,95,76
2020-06-14,966,80,64
2020-06-15,829,68,54
2020-06-16,710,57,46
2020-06-17,605,48,38
2020-06-18,514,40,32
2020-06-19,435,33,26
2020-06-20,367,27,22
2020-06-21,307,22,18
2020-06-22,257,18,15
2020-06-23,215,15,12
2020-06-24,179,12,10
2020-06-25,149,10,8
2020-06-26,121,8,6
2020-06-27,98,6,5
2020-06-28,78,4,4
2020-06-29,63,3,3
2020-06-30,50,2,2
2020-07-01,39,1,1
2020-07-02,30,1,1
2020-07-03,22,0,0
2020-07-04,17,0,0
2020-07-05,12,0,0
2020-07-06,9,0,0
2020-07-07,6,0,0
2020-07-08,4,0,0
2020-07-09,2,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
