"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,599,117,93
2020-04-02,673,132,105
2020-04-03,757,147,118
2020-04-04,845,164,131
2020-04-05,947,182,146
2020-04-06,1060,201,161
2020-04-07,1176,220,176
2020-04-08,1291,240,192
2020-04-09,1414,261,209
2020-04-10,1539,281,225
2020-04-11,1668,302,242
2020-04-12,1799,322,258
2020-04-13,1930,343,274
2020-04-14,2062,362,290
2020-04-15,2191,381,305
2020-04-16,2317,399,319
2020-04-17,2439,415,332
2020-04-18,2555,430,344
2020-04-19,2663,444,355
2020-04-20,2763,456,364
2020-04-21,2854,465,372
2020-04-22,2934,473,378
2020-04-23,3003,478,382
2020-04-24,3057,481,384
2020-04-25,3100,481,385
2020-04-26,3130,480,384
2020-04-27,3145,476,381
2020-04-28,3145,470,376
2020-04-29,3132,462,370
2020-04-30,3104,452,361
2020-05-01,3063,440,352
2020-05-02,3011,427,341
2020-05-03,2946,411,329
2020-05-04,2870,395,316
2020-05-05,2784,378,302
2020-05-06,2689,360,288
2020-05-07,2584,340,272
2020-05-08,2474,321,257
2020-05-09,2359,302,241
2020-05-10,2238,282,225
2020-05-11,2115,262,210
2020-05-12,1992,243,194
2020-05-13,1866,224,179
2020-05-14,1742,205,164
2020-05-15,1620,188,150
2020-05-16,1498,171,137
2020-05-17,1381,155,124
2020-05-18,1268,140,112
2020-05-19,1159,126,101
2020-05-20,1055,112,90
2020-05-21,954,100,80
2020-05-22,859,88,70
2020-05-23,770,77,62
2020-05-24,687,67,54
2020-05-25,612,59,47
2020-05-26,541,51,40
2020-05-27,476,43,35
2020-05-28,418,37,30
2020-05-29,365,32,25
2020-05-30,317,27,22
2020-05-31,275,23,19
2020-06-01,237,20,16
2020-06-02,203,16,13
2020-06-03,173,14,11
2020-06-04,147,12,10
2020-06-05,126,10,8
2020-06-06,107,8,7
2020-06-07,89,7,5
2020-06-08,73,5,4
2020-06-09,60,4,3
2020-06-10,49,3,2
2020-06-11,39,2,2
2020-06-12,31,1,1
2020-06-13,24,0,0
2020-06-14,19,0,0
2020-06-15,14,0,0
2020-06-16,11,0,0
2020-06-17,8,0,0
2020-06-18,5,0,0
2020-06-19,3,0,0
2020-06-20,1,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
