"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,73,11,9
2020-04-02,87,14,11
2020-04-03,104,18,15
2020-04-04,121,23,18
2020-04-05,138,27,22
2020-04-06,164,32,26
2020-04-07,177,38,30
2020-04-08,211,44,36
2020-04-09,249,52,41
2020-04-10,290,59,47
2020-04-11,334,67,53
2020-04-12,379,75,60
2020-04-13,424,83,66
2020-04-14,471,91,73
2020-04-15,519,98,79
2020-04-16,568,106,85
2020-04-17,614,112,90
2020-04-18,657,118,95
2020-04-19,698,123,99
2020-04-20,735,127,102
2020-04-21,767,130,104
2020-04-22,794,132,105
2020-04-23,816,132,106
2020-04-24,831,132,105
2020-04-25,841,130,104
2020-04-26,844,128,102
2020-04-27,841,125,100
2020-04-28,834,121,97
2020-04-29,821,117,93
2020-04-30,803,112,89
2020-05-01,781,106,85
2020-05-02,756,101,81
2020-05-03,727,96,77
2020-05-04,697,90,72
2020-05-05,665,85,68
2020-05-06,632,79,64
2020-05-07,598,74,59
2020-05-08,563,69,55
2020-05-09,530,64,51
2020-05-10,496,60,48
2020-05-11,463,55,44
2020-05-12,432,51,41
2020-05-13,402,47,38
2020-05-14,374,43,35
2020-05-15,347,40,32
2020-05-16,322,37,30
2020-05-17,299,34,28
2020-05-18,276,32,25
2020-05-19,254,29,23
2020-05-20,232,26,21
2020-05-21,213,24,19
2020-05-22,194,22,17
2020-05-23,177,19,15
2020-05-24,161,17,14
2020-05-25,147,15,12
2020-05-26,134,14,11
2020-05-27,122,13,10
2020-05-28,111,12,9
2020-05-29,101,11,9
2020-05-30,92,10,8
2020-05-31,84,9,7
2020-06-01,77,9,7
2020-06-02,70,8,7
2020-06-03,65,8,6
2020-06-04,61,7,6
2020-06-05,57,7,5
2020-06-06,52,6,5
2020-06-07,48,6,5
2020-06-08,44,5,4
2020-06-09,40,5,4
2020-06-10,36,4,3
2020-06-11,33,3,3
2020-06-12,29,3,2
2020-06-13,25,2,2
2020-06-14,22,2,1
2020-06-15,19,1,1
2020-06-16,16,1,1
2020-06-17,13,1,0
2020-06-18,10,0,0
2020-06-19,8,0,0
2020-06-20,6,0,0
2020-06-21,5,0,0
2020-06-22,3,0,0
2020-06-23,2,0,0
2020-06-24,2,0,0
2020-06-25,1,0,0
2020-06-26,1,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
