"State","Day","Hospitalizations","ICU","Ventilators"
"Wyoming",2020-04-16,2,0,0
"Wyoming",2020-04-17,3,1,1
"Wyoming",2020-04-18,5,1,1
"Wyoming",2020-04-19,7,1,1
"Wyoming",2020-04-20,9,2,2
"Wyoming",2020-04-21,12,3,2
"Wyoming",2020-04-22,16,3,3
"Wyoming",2020-04-23,20,4,4
"Wyoming",2020-04-24,24,5,5
"Wyoming",2020-04-25,29,6,6
"Wyoming",2020-04-26,33,7,7
"Wyoming",2020-04-27,38,8,8
"Wyoming",2020-04-28,42,9,9
"Wyoming",2020-04-29,47,10,10
"Wyoming",2020-04-30,50,11,10
"Wyoming",2020-05-01,54,12,11
"Wyoming",2020-05-02,56,13,12
"Wyoming",2020-05-03,58,13,12
"Wyoming",2020-05-04,59,14,12
"Wyoming",2020-05-05,60,14,13
"Wyoming",2020-05-06,60,14,13
"Wyoming",2020-05-07,58,14,13
"Wyoming",2020-05-08,57,14,12
"Wyoming",2020-05-09,55,14,12
"Wyoming",2020-05-10,52,13,11
"Wyoming",2020-05-11,49,13,11
"Wyoming",2020-05-12,45,12,10
"Wyoming",2020-05-13,41,11,9
"Wyoming",2020-05-14,38,10,9
"Wyoming",2020-05-15,34,9,8
"Wyoming",2020-05-16,30,8,7
"Wyoming",2020-05-17,26,8,6
"Wyoming",2020-05-18,23,7,5
"Wyoming",2020-05-19,20,6,5
"Wyoming",2020-05-20,17,5,4
"Wyoming",2020-05-21,14,4,3
"Wyoming",2020-05-22,11,4,3
"Wyoming",2020-05-23,9,3,2
"Wyoming",2020-05-24,8,3,2
"Wyoming",2020-05-25,6,2,2
"Wyoming",2020-05-26,5,2,1
"Wyoming",2020-05-27,4,1,1
"Wyoming",2020-05-28,3,1,1
"Wyoming",2020-05-29,2,1,1
"Wyoming",2020-05-30,2,1,0
"Wyoming",2020-05-31,1,0,0
"Wisconsin",2020-04-16,484,119,105
"Wisconsin",2020-04-17,460,116,102
"Wisconsin",2020-04-18,433,111,96
"Wisconsin",2020-04-19,405,106,91
"Wisconsin",2020-04-20,371,99,85
"Wisconsin",2020-04-21,341,92,78
"Wisconsin",2020-04-22,307,85,72
"Wisconsin",2020-04-23,276,80,66
"Wisconsin",2020-04-24,245,71,59
"Wisconsin",2020-04-25,215,64,52
"Wisconsin",2020-04-26,188,57,45
"Wisconsin",2020-04-27,164,50,39
"Wisconsin",2020-04-28,140,43,34
"Wisconsin",2020-04-29,118,37,29
"Wisconsin",2020-04-30,100,32,24
"Wisconsin",2020-05-01,83,27,21
"Wisconsin",2020-05-02,69,22,17
"Wisconsin",2020-05-03,55,18,14
"Wisconsin",2020-05-04,44,15,11
"Wisconsin",2020-05-05,34,12,9
"Wisconsin",2020-05-06,26,9,6
"Wisconsin",2020-05-07,19,7,5
"Wisconsin",2020-05-08,14,5,3
"Wisconsin",2020-05-09,10,4,3
"Wisconsin",2020-05-10,8,3,2
"Wisconsin",2020-05-11,6,2,2
"Wisconsin",2020-05-12,5,2,1
"Wisconsin",2020-05-13,4,1,1
"Wisconsin",2020-05-14,3,1,1
"Wisconsin",2020-05-15,2,1,0
"Wisconsin",2020-05-16,2,0,0
"Wisconsin",2020-05-17,1,0,0
"Wisconsin",2020-05-18,1,0,0
"Wisconsin",2020-05-19,1,0,0
"Wisconsin",2020-05-20,0,0,0
"Wisconsin",2020-05-21,0,0,0
"Wisconsin",2020-05-22,0,0,0
"Wisconsin",2020-05-23,0,0,0
"Wisconsin",2020-05-24,0,0,0
"Wisconsin",2020-05-25,0,0,0
"Wisconsin",2020-05-26,0,0,0
"Wisconsin",2020-05-27,0,0,0
"Wisconsin",2020-05-28,0,0,0
"Wisconsin",2020-05-29,0,0,0
"Wisconsin",2020-05-30,0,0,0
"Wisconsin",2020-05-31,0,0,0
"West Virginia",2020-04-16,116,27,25
"West Virginia",2020-04-17,119,28,26
"West Virginia",2020-04-18,121,29,26
"West Virginia",2020-04-19,120,29,26
"West Virginia",2020-04-20,118,29,26
"West Virginia",2020-04-21,115,29,26
"West Virginia",2020-04-22,110,29,25
"West Virginia",2020-04-23,105,28,24
"West Virginia",2020-04-24,99,27,23
"West Virginia",2020-04-25,92,25,22
"West Virginia",2020-04-26,86,24,20
"West Virginia",2020-04-27,78,22,19
"West Virginia",2020-04-28,71,20,17
"West Virginia",2020-04-29,64,18,15
"West Virginia",2020-04-30,56,17,14
"West Virginia",2020-05-01,49,15,12
"West Virginia",2020-05-02,43,13,10
"West Virginia",2020-05-03,37,11,9
"West Virginia",2020-05-04,31,10,8
"West Virginia",2020-05-05,27,8,7
"West Virginia",2020-05-06,22,7,6
"West Virginia",2020-05-07,19,6,5
"West Virginia",2020-05-08,15,5,4
"West Virginia",2020-05-09,13,4,3
"West Virginia",2020-05-10,10,3,3
"West Virginia",2020-05-11,8,3,2
"West Virginia",2020-05-12,7,2,2
"West Virginia",2020-05-13,5,2,1
"West Virginia",2020-05-14,4,1,1
"West Virginia",2020-05-15,3,1,1
"West Virginia",2020-05-16,3,1,1
"West Virginia",2020-05-17,2,1,0
"West Virginia",2020-05-18,1,0,0
"West Virginia",2020-05-19,1,0,0
"West Virginia",2020-05-20,1,0,0
"West Virginia",2020-05-21,1,0,0
"West Virginia",2020-05-22,0,0,0
"West Virginia",2020-05-23,0,0,0
"West Virginia",2020-05-24,0,0,0
"West Virginia",2020-05-25,0,0,0
"West Virginia",2020-05-26,0,0,0
"West Virginia",2020-05-27,0,0,0
"West Virginia",2020-05-28,0,0,0
"West Virginia",2020-05-29,0,0,0
"West Virginia",2020-05-30,0,0,0
"West Virginia",2020-05-31,0,0,0
"Washington",2020-04-16,813,206,177
"Washington",2020-04-17,782,194,168
"Washington",2020-04-18,747,186,160
"Washington",2020-04-19,708,178,152
"Washington",2020-04-20,668,168,144
"Washington",2020-04-21,621,157,134
"Washington",2020-04-22,578,151,128
"Washington",2020-04-23,535,145,121
"Washington",2020-04-24,492,134,111
"Washington",2020-04-25,447,123,102
"Washington",2020-04-26,409,113,93
"Washington",2020-04-27,372,103,84
"Washington",2020-04-28,332,93,76
"Washington",2020-04-29,295,83,67
"Washington",2020-04-30,260,74,60
"Washington",2020-05-01,227,66,52
"Washington",2020-05-02,198,58,46
"Washington",2020-05-03,172,51,40
"Washington",2020-05-04,149,44,35
"Washington",2020-05-05,129,38,30
"Washington",2020-05-06,110,33,26
"Washington",2020-05-07,94,29,22
"Washington",2020-05-08,79,24,18
"Washington",2020-05-09,65,20,15
"Washington",2020-05-10,52,16,12
"Washington",2020-05-11,40,13,9
"Washington",2020-05-12,30,10,7
"Washington",2020-05-13,22,8,5
"Washington",2020-05-14,16,6,4
"Washington",2020-05-15,12,5,3
"Washington",2020-05-16,9,4,2
"Washington",2020-05-17,7,3,2
"Washington",2020-05-18,6,2,1
"Washington",2020-05-19,5,2,1
"Washington",2020-05-20,4,1,1
"Washington",2020-05-21,3,1,0
"Washington",2020-05-22,2,0,0
"Washington",2020-05-23,2,0,0
"Washington",2020-05-24,1,0,0
"Washington",2020-05-25,1,0,0
"Washington",2020-05-26,0,0,0
"Washington",2020-05-27,0,0,0
"Washington",2020-05-28,0,0,0
"Washington",2020-05-29,0,0,0
"Washington",2020-05-30,0,0,0
"Washington",2020-05-31,0,0,0
"Virginia",2020-04-16,1028,210,186
"Virginia",2020-04-17,1105,224,199
"Virginia",2020-04-18,1176,242,214
"Virginia",2020-04-19,1243,259,228
"Virginia",2020-04-20,1304,262,232
"Virginia",2020-04-21,1352,273,242
"Virginia",2020-04-22,1396,285,251
"Virginia",2020-04-23,1431,295,259
"Virginia",2020-04-24,1446,302,264
"Virginia",2020-04-25,1463,309,269
"Virginia",2020-04-26,1473,314,272
"Virginia",2020-04-27,1474,317,274
"Virginia",2020-04-28,1467,319,274
"Virginia",2020-04-29,1454,318,273
"Virginia",2020-04-30,1434,316,270
"Virginia",2020-05-01,1407,313,266
"Virginia",2020-05-02,1373,307,260
"Virginia",2020-05-03,1334,301,254
"Virginia",2020-05-04,1293,294,247
"Virginia",2020-05-05,1251,286,240
"Virginia",2020-05-06,1206,277,232
"Virginia",2020-05-07,1160,268,224
"Virginia",2020-05-08,1116,259,216
"Virginia",2020-05-09,1071,250,208
"Virginia",2020-05-10,1026,240,199
"Virginia",2020-05-11,978,229,190
"Virginia",2020-05-12,930,219,181
"Virginia",2020-05-13,880,208,172
"Virginia",2020-05-14,831,197,162
"Virginia",2020-05-15,782,186,153
"Virginia",2020-05-16,734,175,144
"Virginia",2020-05-17,687,165,135
"Virginia",2020-05-18,640,155,126
"Virginia",2020-05-19,595,145,118
"Virginia",2020-05-20,550,135,109
"Virginia",2020-05-21,508,125,101
"Virginia",2020-05-22,467,116,94
"Virginia",2020-05-23,428,107,86
"Virginia",2020-05-24,391,98,79
"Virginia",2020-05-25,356,90,72
"Virginia",2020-05-26,323,82,66
"Virginia",2020-05-27,293,75,60
"Virginia",2020-05-28,264,68,54
"Virginia",2020-05-29,238,61,49
"Virginia",2020-05-30,213,55,44
