"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,103,20,16
2020-04-02,122,25,20
2020-04-03,142,28,23
2020-04-04,162,33,26
2020-04-05,187,37,30
2020-04-06,214,42,34
2020-04-07,240,47,38
2020-04-08,266,52,42
2020-04-09,298,57,46
2020-04-10,327,62,49
2020-04-11,356,66,53
2020-04-12,384,70,56
2020-04-13,411,74,59
2020-04-14,436,77,61
2020-04-15,458,79,63
2020-04-16,478,81,65
2020-04-17,494,82,65
2020-04-18,507,82,66
2020-04-19,516,82,65
2020-04-20,522,81,65
2020-04-21,523,79,63
2020-04-22,521,77,62
2020-04-23,516,75,60
2020-04-24,507,72,58
2020-04-25,496,69,55
2020-04-26,482,66,53
2020-04-27,467,63,50
2020-04-28,449,59,47
2020-04-29,430,56,45
2020-04-30,410,52,42
2020-05-01,390,49,39
2020-05-02,368,46,37
2020-05-03,347,43,34
2020-05-04,326,40,32
2020-05-05,306,37,30
2020-05-06,287,34,27
2020-05-07,269,32,26
2020-05-08,251,30,24
2020-05-09,233,28,22
2020-05-10,216,25,20
2020-05-11,199,23,19
2020-05-12,183,21,17
2020-05-13,168,19,15
2020-05-14,153,17,14
2020-05-15,140,15,12
2020-05-16,128,14,11
2020-05-17,117,12,10
2020-05-18,107,11,9
2020-05-19,98,10,8
2020-05-20,90,10,8
2020-05-21,82,9,7
2020-05-22,75,8,7
2020-05-23,68,8,6
2020-05-24,63,7,6
2020-05-25,58,7,6
2020-05-26,54,7,5
2020-05-27,50,6,5
2020-05-28,46,6,4
2020-05-29,42,5,4
2020-05-30,39,4,3
2020-05-31,35,4,3
2020-06-01,31,3,2
2020-06-02,28,3,2
2020-06-03,24,2,2
2020-06-04,21,2,1
2020-06-05,18,1,1
2020-06-06,15,1,1
2020-06-07,12,1,0
2020-06-08,10,0,0
2020-06-09,8,0,0
2020-06-10,6,0,0
2020-06-11,5,0,0
2020-06-12,3,0,0
2020-06-13,2,0,0
2020-06-14,2,0,0
2020-06-15,1,0,0
2020-06-16,1,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
