"State","Day","Hospitalizations","ICU","Ventilators"
"Wisconsin",2020-05-12,1646,205,164
"Wisconsin",2020-05-13,1552,191,153
"Wisconsin",2020-05-14,1458,177,141
"Wisconsin",2020-05-15,1363,163,130
"Wisconsin",2020-05-16,1268,149,119
"Wisconsin",2020-05-17,1176,136,109
"Wisconsin",2020-05-18,1088,124,99
"Wisconsin",2020-05-19,1002,112,90
"Wisconsin",2020-05-20,919,101,81
"Wisconsin",2020-05-21,839,91,73
"Wisconsin",2020-05-22,763,81,65
"Wisconsin",2020-05-23,691,72,58
"Wisconsin",2020-05-24,623,64,51
"Wisconsin",2020-05-25,560,57,45
"Wisconsin",2020-05-26,501,50,40
"Wisconsin",2020-05-27,447,43,35
"Wisconsin",2020-05-28,396,38,30
"Wisconsin",2020-05-29,350,33,26
"Wisconsin",2020-05-30,308,28,23
"Wisconsin",2020-05-31,271,24,19
"Wisconsin",2020-06-01,236,21,17
"Wisconsin",2020-06-02,205,18,14
"Wisconsin",2020-06-03,178,15,12
"Wisconsin",2020-06-04,153,13,10
"Wisconsin",2020-06-05,131,11,9
"Wisconsin",2020-06-06,112,9,7
"Wisconsin",2020-06-07,95,7,6
"Wisconsin",2020-06-08,80,6,5
"Wisconsin",2020-06-09,67,5,4
"Wisconsin",2020-06-10,56,4,3
"Wisconsin",2020-06-11,46,3,2
"Wisconsin",2020-06-12,38,2,2
"Wisconsin",2020-06-13,31,2,1
"Wisconsin",2020-06-14,25,1,1
"Wisconsin",2020-06-15,20,1,1
"Wisconsin",2020-06-16,16,1,1
"Wisconsin",2020-06-17,12,1,0
"Wisconsin",2020-06-18,9,0,0
"Wisconsin",2020-06-19,7,0,0
"Wisconsin",2020-06-20,5,0,0
"Wisconsin",2020-06-21,4,0,0
"Wisconsin",2020-06-22,3,0,0
"Wisconsin",2020-06-23,2,0,0
"Wisconsin",2020-06-24,1,0,0
"Wisconsin",2020-06-25,1,0,0
"Wisconsin",2020-06-26,1,0,0
"Wisconsin",2020-06-27,0,0,0
"Wisconsin",2020-06-28,0,0,0
"Wisconsin",2020-06-29,0,0,0
"Wisconsin",2020-06-30,0,0,0
"Wisconsin",2020-07-01,0,0,0
"Wisconsin",2020-07-02,0,0,0
"Wisconsin",2020-07-03,0,0,0
"Wisconsin",2020-07-04,0,0,0
"Wisconsin",2020-07-05,0,0,0
"Wisconsin",2020-07-06,0,0,0
"Wisconsin",2020-07-07,0,0,0
"Wisconsin",2020-07-08,0,0,0
"Wisconsin",2020-07-09,0,0,0
"Wisconsin",2020-07-10,0,0,0
"Wisconsin",2020-07-11,0,0,0
"Wisconsin",2020-07-12,0,0,0
"Wisconsin",2020-07-13,0,0,0
"Wisconsin",2020-07-14,0,0,0
"Wisconsin",2020-07-15,0,0,0
"Wisconsin",2020-07-16,0,0,0
"Wisconsin",2020-07-17,0,0,0
"Wisconsin",2020-07-18,0,0,0
"Wisconsin",2020-07-19,0,0,0
"Wisconsin",2020-07-20,0,0,0
"Wisconsin",2020-07-21,0,0,0
"Wisconsin",2020-07-22,0,0,0
"Wisconsin",2020-07-23,0,0,0
"Wisconsin",2020-07-24,0,0,0
"Wisconsin",2020-07-25,0,0,0
"Wisconsin",2020-07-26,0,0,0
"Wisconsin",2020-07-27,0,0,0
"Wisconsin",2020-07-28,0,0,0
"Wisconsin",2020-07-29,0,0,0
"Wisconsin",2020-07-30,0,0,0
"Wisconsin",2020-07-31,0,0,0
"Wisconsin",2020-08-01,0,0,0
"Wisconsin",2020-08-02,0,0,0
"Wisconsin",2020-08-03,0,0,0
"Wisconsin",2020-08-04,0,0,0
"West Virginia",2020-04-01,25,5,4
"West Virginia",2020-04-02,32,6,5
"West Virginia",2020-04-03,41,8,6
