"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,259,50,40
2020-04-02,296,56,45
2020-04-03,323,63,50
2020-04-04,366,70,56
2020-04-05,408,77,62
2020-04-06,453,85,68
2020-04-07,500,93,74
2020-04-08,546,101,81
2020-04-09,595,109,87
2020-04-10,645,117,94
2020-04-11,697,125,100
2020-04-12,748,133,106
2020-04-13,798,140,112
2020-04-14,847,147,118
2020-04-15,895,154,123
2020-04-16,941,160,128
2020-04-17,983,165,132
2020-04-18,1023,170,136
2020-04-19,1059,173,139
2020-04-20,1090,177,141
2020-04-21,1116,178,143
2020-04-22,1138,180,144
2020-04-23,1156,180,144
2020-04-24,1167,179,143
2020-04-25,1172,178,142
2020-04-26,1173,176,140
2020-04-27,1168,172,138
2020-04-28,1156,168,134
2020-04-29,1141,164,131
2020-04-30,1121,159,127
2020-05-01,1096,153,122
2020-05-02,1068,147,118
2020-05-03,1035,140,112
2020-05-04,996,133,106
2020-05-05,955,125,100
2020-05-06,912,118,94
2020-05-07,867,110,88
2020-05-08,820,102,82
2020-05-09,772,94,75
2020-05-10,724,87,69
2020-05-11,676,79,63
2020-05-12,629,73,58
2020-05-13,582,66,53
2020-05-14,537,60,48
2020-05-15,492,54,43
2020-05-16,448,48,39
2020-05-17,407,43,35
2020-05-18,368,38,31
2020-05-19,332,34,27
2020-05-20,299,30,24
2020-05-21,267,26,21
2020-05-22,238,23,18
2020-05-23,211,20,16
2020-05-24,186,17,14
2020-05-25,163,15,12
2020-05-26,143,13,10
2020-05-27,124,11,9
2020-05-28,107,9,7
2020-05-29,92,8,6
2020-05-30,79,6,5
2020-05-31,67,5,4
2020-06-01,56,4,3
2020-06-02,47,3,3
2020-06-03,39,2,2
2020-06-04,31,2,1
2020-06-05,25,1,1
2020-06-06,20,1,1
2020-06-07,16,1,0
2020-06-08,12,0,0
2020-06-09,9,0,0
2020-06-10,7,0,0
2020-06-11,5,0,0
2020-06-12,4,0,0
2020-06-13,2,0,0
2020-06-14,2,0,0
2020-06-15,1,0,0
2020-06-16,1,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
