"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,678,142,113
2020-04-02,803,168,134
2020-04-03,951,197,158
2020-04-04,1116,229,184
2020-04-05,1301,264,211
2020-04-06,1491,300,240
2020-04-07,1708,338,270
2020-04-08,1920,377,302
2020-04-09,2150,417,333
2020-04-10,2389,457,365
2020-04-11,2633,496,397
2020-04-12,2882,535,428
2020-04-13,3132,573,458
2020-04-14,3379,609,487
2020-04-15,3620,643,515
2020-04-16,3854,675,540
2020-04-17,4076,704,563
2020-04-18,4283,729,583
2020-04-19,4473,751,601
2020-04-20,4644,768,615
2020-04-21,4794,781,625
2020-04-22,4921,791,633
2020-04-23,5023,795,637
2020-04-24,5096,795,636
2020-04-25,5142,790,632
2020-04-26,5162,780,624
2020-04-27,5150,766,613
2020-04-28,5110,748,598
2020-04-29,5038,724,579
2020-04-30,4941,697,558
2020-05-01,4818,667,533
2020-05-02,4669,634,507
2020-05-03,4496,597,478
2020-05-04,4305,559,447
2020-05-05,4097,520,416
2020-05-06,3873,480,384
2020-05-07,3640,440,352
2020-05-08,3399,400,320
2020-05-09,3154,361,289
2020-05-10,2908,324,259
2020-05-11,2663,289,231
2020-05-12,2423,255,204
2020-05-13,2189,224,179
2020-05-14,1966,195,156
2020-05-15,1753,168,134
2020-05-16,1552,144,115
2020-05-17,1365,122,98
2020-05-18,1193,103,82
2020-05-19,1035,86,69
2020-05-20,892,72,57
2020-05-21,763,59,47
2020-05-22,649,48,39
2020-05-23,548,39,31
2020-05-24,459,32,25
2020-05-25,381,25,20
2020-05-26,315,20,16
2020-05-27,259,16,13
2020-05-28,211,12,10
2020-05-29,170,10,8
2020-05-30,135,7,6
2020-05-31,107,5,4
2020-06-01,83,4,3
2020-06-02,64,2,2
2020-06-03,49,1,1
2020-06-04,37,1,1
2020-06-05,27,0,0
2020-06-06,20,0,0
2020-06-07,14,0,0
2020-06-08,10,0,0
2020-06-09,7,0,0
2020-06-10,4,0,0
2020-06-11,2,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
