"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,220,41,33
2020-04-02,241,45,36
2020-04-03,268,50,40
2020-04-04,292,54,44
2020-04-05,315,60,48
2020-04-06,351,64,52
2020-04-07,378,69,55
2020-04-08,416,75,60
2020-04-09,449,80,64
2020-04-10,483,86,69
2020-04-11,518,91,73
2020-04-12,555,97,78
2020-04-13,592,103,82
2020-04-14,629,109,87
2020-04-15,668,115,92
2020-04-16,706,121,97
2020-04-17,745,127,101
2020-04-18,784,133,106
2020-04-19,823,139,111
2020-04-20,862,144,115
2020-04-21,901,150,120
2020-04-22,940,156,124
2020-04-23,978,161,129
2020-04-24,1016,167,133
2020-04-25,1054,172,138
2020-04-26,1091,177,142
2020-04-27,1128,183,146
2020-04-28,1165,188,150
2020-04-29,1200,193,154
2020-04-30,1234,198,158
2020-05-01,1268,203,162
2020-05-02,1301,207,166
2020-05-03,1334,212,169
2020-05-04,1363,215,172
2020-05-05,1391,219,175
2020-05-06,1419,222,178
2020-05-07,1445,226,181
2020-05-08,1471,229,183
2020-05-09,1494,232,185
2020-05-10,1514,234,187
2020-05-11,1532,236,188
2020-05-12,1546,237,189
2020-05-13,1556,237,190
2020-05-14,1565,237,190
2020-05-15,1571,237,189
2020-05-16,1574,236,188
2020-05-17,1573,234,187
2020-05-18,1569,232,186
2020-05-19,1563,229,184
2020-05-20,1555,227,182
2020-05-21,1543,224,179
2020-05-22,1528,221,177
2020-05-23,1509,217,174
2020-05-24,1487,213,170
2020-05-25,1463,208,166
2020-05-26,1435,203,162
2020-05-27,1407,197,158
2020-05-28,1375,191,153
2020-05-29,1342,185,148
2020-05-30,1306,179,143
2020-05-31,1268,173,138
2020-06-01,1228,166,133
2020-06-02,1186,159,127
2020-06-03,1143,152,122
2020-06-04,1099,145,116
2020-06-05,1054,138,110
2020-06-06,1009,131,105
2020-06-07,963,124,99
2020-06-08,917,117,94
2020-06-09,872,110,88
2020-06-10,827,104,83
2020-06-11,782,97,78
2020-06-12,738,91,73
2020-06-13,695,85,68
2020-06-14,652,79,63
2020-06-15,611,74,59
2020-06-16,571,68,55
2020-06-17,532,63,50
2020-06-18,495,58,46
2020-06-19,460,53,43
2020-06-20,426,49,39
2020-06-21,393,45,36
2020-06-22,363,41,33
2020-06-23,333,37,30
2020-06-24,305,34,27
2020-06-25,279,31,25
2020-06-26,255,28,22
2020-06-27,232,25,20
2020-06-28,211,23,18
2020-06-29,191,20,16
2020-06-30,173,18,15
2020-07-01,156,16,13
2020-07-02,140,14,11
2020-07-03,126,13,10
2020-07-04,113,11,9
2020-07-05,102,10,8
2020-07-06,92,9,7
2020-07-07,82,8,7
2020-07-08,73,7,6
2020-07-09,63,6,5
2020-07-10,55,5,4
2020-07-11,47,4,3
2020-07-12,40,3,2
2020-07-13,33,2,2
2020-07-14,27,1,1
2020-07-15,21,1,0
2020-07-16,17,0,0
2020-07-17,14,0,0
2020-07-18,12,0,0
2020-07-19,9,0,0
2020-07-20,6,0,0
2020-07-21,3,0,0
2020-07-22,1,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
