"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,402,88,70
2020-04-02,447,88,71
2020-04-03,508,99,79
2020-04-04,574,109,87
2020-04-05,638,119,95
2020-04-06,709,129,103
2020-04-07,762,138,111
2020-04-08,830,146,117
2020-04-09,860,154,123
2020-04-10,912,160,128
2020-04-11,958,165,132
2020-04-12,998,168,134
2020-04-13,1032,170,136
2020-04-14,1059,171,136
2020-04-15,1078,170,136
2020-04-16,1089,168,134
2020-04-17,1092,165,132
2020-04-18,1088,161,128
2020-04-19,1077,156,124
2020-04-20,1059,150,120
2020-04-21,1036,144,115
2020-04-22,1007,137,110
2020-04-23,974,130,104
2020-04-24,937,123,98
2020-04-25,897,116,93
2020-04-26,856,109,87
2020-04-27,813,102,82
2020-04-28,769,95,76
2020-04-29,725,89,71
2020-04-30,681,82,66
2020-05-01,639,77,61
2020-05-02,597,71,57
2020-05-03,556,65,52
2020-05-04,517,60,48
2020-05-05,480,56,45
2020-05-06,446,52,41
2020-05-07,414,48,38
2020-05-08,383,44,35
2020-05-09,355,41,33
2020-05-10,328,37,30
2020-05-11,301,34,28
2020-05-12,276,31,25
2020-05-13,253,28,23
2020-05-14,232,26,21
2020-05-15,212,23,19
2020-05-16,193,21,17
2020-05-17,176,19,15
2020-05-18,161,17,14
2020-05-19,147,15,12
2020-05-20,135,14,11
2020-05-21,123,13,10
2020-05-22,112,12,10
2020-05-23,102,11,9
2020-05-24,93,10,8
2020-05-25,85,10,8
2020-05-26,79,9,7
2020-05-27,73,9,7
2020-05-28,68,8,6
2020-05-29,64,8,6
2020-05-30,59,7,6
2020-05-31,55,7,5
2020-06-01,51,6,5
2020-06-02,47,6,4
2020-06-03,43,5,4
2020-06-04,39,4,3
2020-06-05,35,4,3
2020-06-06,31,3,2
2020-06-07,28,2,2
2020-06-08,24,2,2
2020-06-09,21,2,1
2020-06-10,18,1,1
2020-06-11,15,1,1
2020-06-12,12,1,0
2020-06-13,10,0,0
2020-06-14,8,0,0
2020-06-15,6,0,0
2020-06-16,5,0,0
2020-06-17,3,0,0
2020-06-18,2,0,0
2020-06-19,2,0,0
2020-06-20,1,0,0
2020-06-21,1,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
