"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,598,124,99
2020-04-02,705,145,116
2020-04-03,823,167,134
2020-04-04,947,192,154
2020-04-05,1095,219,175
2020-04-06,1246,248,199
2020-04-07,1420,279,223
2020-04-08,1607,312,249
2020-04-09,1796,345,276
2020-04-10,1991,378,303
2020-04-11,2188,410,328
2020-04-12,2384,442,353
2020-04-13,2575,470,376
2020-04-14,2757,495,396
2020-04-15,2928,517,413
2020-04-16,3082,533,427
2020-04-17,3217,545,436
2020-04-18,3332,553,442
2020-04-19,3424,555,444
2020-04-20,3487,553,442
2020-04-21,3523,545,436
2020-04-22,3529,533,426
2020-04-23,3506,517,413
2020-04-24,3455,496,397
2020-04-25,3378,473,378
2020-04-26,3277,446,357
2020-04-27,3154,417,334
2020-04-28,3012,387,310
2020-04-29,2855,356,285
2020-04-30,2684,325,260
2020-05-01,2506,293,235
2020-05-02,2319,263,210
2020-05-03,2132,234,187
2020-05-04,1943,206,165
2020-05-05,1759,180,144
2020-05-06,1580,156,125
2020-05-07,1409,134,108
2020-05-08,1245,114,91
2020-05-09,1091,96,77
2020-05-10,950,80,64
2020-05-11,820,66,53
2020-05-12,703,54,44
2020-05-13,597,44,35
2020-05-14,503,35,28
2020-05-15,420,28,22
2020-05-16,349,22,18
2020-05-17,288,18,14
2020-05-18,235,14,11
2020-05-19,190,11,9
2020-05-20,151,8,6
2020-05-21,119,6,5
2020-05-22,92,4,3
2020-05-23,71,3,2
2020-05-24,55,2,1
2020-05-25,41,1,1
2020-05-26,31,0,0
2020-05-27,22,0,0
2020-05-28,16,0,0
2020-05-29,11,0,0
2020-05-30,8,0,0
2020-05-31,5,0,0
2020-06-01,3,0,0
2020-06-02,1,0,0
2020-06-03,0,0,0
2020-06-04,0,0,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
