"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,776,160,128
2020-04-02,907,184,147
2020-04-03,1052,209,167
2020-04-04,1200,237,189
2020-04-05,1367,266,213
2020-04-06,1533,297,238
2020-04-07,1711,330,264
2020-04-08,1911,363,291
2020-04-09,2115,398,318
2020-04-10,2327,433,346
2020-04-11,2547,470,375
2020-04-12,2772,506,404
2020-04-13,3000,541,433
2020-04-14,3232,577,462
2020-04-15,3462,612,489
2020-04-16,3690,645,516
2020-04-17,3914,677,542
2020-04-18,4132,707,566
2020-04-19,4342,735,588
2020-04-20,4540,761,609
2020-04-21,4726,784,627
2020-04-22,4896,803,643
2020-04-23,5045,819,655
2020-04-24,5175,830,664
2020-04-25,5288,838,671
2020-04-26,5373,842,674
2020-04-27,5437,841,673
2020-04-28,5471,835,668
2020-04-29,5478,824,659
2020-04-30,5458,809,647
2020-05-01,5412,791,632
2020-05-02,5337,767,614
2020-05-03,5236,740,592
2020-05-04,5111,710,568
2020-05-05,4961,677,541
2020-05-06,4789,641,513
2020-05-07,4598,604,483
2020-05-08,4393,565,452
2020-05-09,4174,526,421
2020-05-10,3941,486,389
2020-05-11,3702,447,358
2020-05-12,3457,408,327
2020-05-13,3211,370,296
2020-05-14,2965,334,267
2020-05-15,2722,299,239
2020-05-16,2485,266,213
2020-05-17,2256,236,188
2020-05-18,2036,207,165
2020-05-19,1826,181,145
2020-05-20,1629,157,125
2020-05-21,1445,135,108
2020-05-22,1275,116,93
2020-05-23,1117,99,79
2020-05-24,973,84,67
2020-05-25,843,71,57
2020-05-26,726,59,47
2020-05-27,622,49,39
2020-05-28,530,41,32
2020-05-29,448,33,27
2020-05-30,377,27,22
2020-05-31,316,22,18
2020-06-01,263,18,14
2020-06-02,217,14,11
2020-06-03,178,11,9
2020-06-04,144,9,7
2020-06-05,116,7,5
2020-06-06,93,5,4
2020-06-07,73,4,3
2020-06-08,57,2,2
2020-06-09,45,2,1
2020-06-10,34,1,1
2020-06-11,26,0,0
2020-06-12,19,0,0
2020-06-13,14,0,0
2020-06-14,10,0,0
2020-06-15,7,0,0
2020-06-16,4,0,0
2020-06-17,2,0,0
2020-06-18,1,0,0
2020-06-19,1,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
