"Day","Hospitalizations","ICU","Ventilators"
2020-04-01,2214,486,389
2020-04-02,2749,600,480
2020-04-03,3379,729,583
2020-04-04,4080,872,697
2020-04-05,4870,1028,822
2020-04-06,5733,1194,955
2020-04-07,6651,1367,1094
2020-04-08,7616,1544,1235
2020-04-09,8626,1719,1375
2020-04-10,9650,1889,1512
2020-04-11,10668,2048,1639
2020-04-12,11656,2193,1754
2020-04-13,12584,2315,1853
2020-04-14,13427,2413,1931
2020-04-15,14161,2481,1985
2020-04-16,14763,2518,2015
2020-04-17,15214,2522,2018
2020-04-18,15498,2490,1993
2020-04-19,15618,2428,1943
2020-04-20,15557,2334,1868
2020-04-21,15328,2214,1771
2020-04-22,14937,2072,1658
2020-04-23,14395,1914,1531
2020-04-24,13721,1743,1395
2020-04-25,12936,1568,1254
2020-04-26,12061,1391,1113
2020-04-27,11119,1217,973
2020-04-28,10137,1051,840
2020-04-29,9142,896,716
2020-04-30,8151,753,602
2020-05-01,7185,625,500
2020-05-02,6263,512,409
2020-05-03,5399,413,330
2020-05-04,4600,329,263
2020-05-05,3875,259,207
2020-05-06,3227,201,161
2020-05-07,2654,154,123
2020-05-08,2158,116,93
2020-05-09,1733,86,69
2020-05-10,1375,63,51
2020-05-11,1077,46,37
2020-05-12,834,33,26
2020-05-13,636,22,18
2020-05-14,477,15,12
2020-05-15,354,10,8
2020-05-16,259,6,5
2020-05-17,186,4,3
2020-05-18,132,2,1
2020-05-19,92,1,1
2020-05-20,62,0,0
2020-05-21,41,0,0
2020-05-22,27,0,0
2020-05-23,17,0,0
2020-05-24,10,0,0
2020-05-25,5,0,0
2020-05-26,2,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
2020-05-31,0,0,0
2020-06-01,0,0,0
2020-06-02,0,0,0
2020-06-03,0,0,0
2020-06-04,0,0,0
2020-06-05,0,0,0
2020-06-06,0,0,0
2020-06-07,0,0,0
2020-06-08,0,0,0
2020-06-09,0,0,0
2020-06-10,0,0,0
2020-06-11,0,0,0
2020-06-12,0,0,0
2020-06-13,0,0,0
2020-06-14,0,0,0
2020-06-15,0,0,0
2020-06-16,0,0,0
2020-06-17,0,0,0
2020-06-18,0,0,0
2020-06-19,0,0,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,0,0
2020-06-23,0,0,0
2020-06-24,0,0,0
2020-06-25,0,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,0,0,0
2020-06-30,0,0,0
2020-07-01,0,0,0
2020-07-02,0,0,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,0,0,0
2020-07-07,0,0,0
2020-07-08,0,0,0
2020-07-09,0,0,0
2020-07-10,0,0,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,0,0,0
2020-07-14,0,0,0
2020-07-15,0,0,0
2020-07-16,0,0,0
2020-07-17,0,0,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,0,0,0
2020-07-21,0,0,0
2020-07-22,0,0,0
2020-07-23,0,0,0
2020-07-24,0,0,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,0,0,0
2020-07-28,0,0,0
2020-07-29,0,0,0
2020-07-30,0,0,0
2020-07-31,0,0,0
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,0,0,0
2020-08-04,0,0,0
