State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Mississippi,Louisiana,2020-04-09,48.0,ode,0.19999999999999996,0.0,0.9
Massachusetts,New York,2020-04-09,45.0,ode,0.19999999999999996,0.0,0.9
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.0,0.9
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.0,0.9
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.0,0.9
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.0,0.9
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.0,0.9
Connecticut,New Jersey,2020-04-09,7.0,ode,0.19999999999999996,0.0,0.9
Federal,New York,2020-04-12,405.0,ode,0.19999999999999996,0.0,0.9
Federal,New York,2020-04-13,194.0,ode,0.19999999999999996,0.0,0.9
Federal,New Jersey,2020-04-13,122.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-13,89.0,ode,0.19999999999999996,0.0,0.9
Federal,New Jersey,2020-04-14,354.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-14,45.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-18,30.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-20,10.0,ode,0.19999999999999996,0.0,0.9
Federal,New Jersey,2020-04-21,48.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-21,7.0,ode,0.19999999999999996,0.0,0.9
Federal,Louisiana,2020-04-22,4.0,ode,0.19999999999999996,0.0,0.9
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.0,1.0
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.0,1.0
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.0,1.0
Michigan,New York,2020-04-09,187.0,ode,0.19999999999999996,0.0,1.0
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.0,1.0
