State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Wyoming,New Jersey,2020-04-07,12,ihme,0.19999999999999996,0,0.5
Wisconsin,Alaska,2020-04-07,78,ihme,0.19999999999999996,0,0.5
West Virginia,Utah,2020-04-07,45,ihme,0.19999999999999996,0,0.5
Washington,Maryland,2020-04-07,62,ihme,0.19999999999999996,0,0.5
Virginia,California,2020-04-07,141,ihme,0.19999999999999996,0,0.5
Vermont,Connecticut,2020-04-07,7,ihme,0.19999999999999996,0,0.5
Utah,Connecticut,2020-04-07,58,ihme,0.19999999999999996,0,0.5
Texas,New Jersey,2020-04-07,624,ihme,0.19999999999999996,0,0.5
Tennessee,New Jersey,2020-04-07,163,ihme,0.19999999999999996,0,0.5
South Dakota,New Jersey,2020-04-07,16,ihme,0.19999999999999996,0,0.5
South Carolina,Hawaii,2020-04-07,105,ihme,0.19999999999999996,0,0.5
Pennsylvania,Illinois,2020-04-07,233,ihme,0.19999999999999996,0,0.5
Pennsylvania,Connecticut,2020-04-07,69,ihme,0.19999999999999996,0,0.5
Oregon,Connecticut,2020-04-07,55,ihme,0.19999999999999996,0,0.5
Oklahoma,Massachusetts,2020-04-07,78,ihme,0.19999999999999996,0,0.5
Ohio,New Jersey,2020-04-07,61,ihme,0.19999999999999996,0,0.5
Ohio,Connecticut,2020-04-07,215,ihme,0.19999999999999996,0,0.5
North Carolina,New Jersey,2020-04-07,196,ihme,0.19999999999999996,0,0.5
New Mexico,New Jersey,2020-04-07,20,ihme,0.19999999999999996,0,0.5
New Mexico,Maryland,2020-04-07,16,ihme,0.19999999999999996,0,0.5
New Hampshire,New York,2020-04-07,1,ihme,0.19999999999999996,0,0.5
New Hampshire,Massachusetts,2020-04-07,20,ihme,0.19999999999999996,0,0.5
Nevada,New York,2020-04-07,85,ihme,0.19999999999999996,0,0.5
Nebraska,New Jersey,2020-04-07,49,ihme,0.19999999999999996,0,0.5
Montana,New Jersey,2020-04-07,17,ihme,0.19999999999999996,0,0.5
Missouri,New York,2020-04-07,21,ihme,0.19999999999999996,0,0.5
Missouri,Massachusetts,2020-04-07,94,ihme,0.19999999999999996,0,0.5
Missouri,Connecticut,2020-04-07,31,ihme,0.19999999999999996,0,0.5
Mississippi,Massachusetts,2020-04-07,77,ihme,0.19999999999999996,0,0.5
Minnesota,Utah,2020-04-07,61,ihme,0.19999999999999996,0,0.5
Minnesota,Oregon,2020-04-07,2,ihme,0.19999999999999996,0,0.5
Maine,New York,2020-04-07,21,ihme,0.19999999999999996,0,0.5
Louisiana,New Jersey,2020-04-07,113,ihme,0.19999999999999996,0,0.5
Kentucky,North Dakota,2020-04-07,9,ihme,0.19999999999999996,0,0.5
Kentucky,New York,2020-04-07,48,ihme,0.19999999999999996,0,0.5
Kentucky,Massachusetts,2020-04-07,8,ihme,0.19999999999999996,0,0.5
Kansas,Massachusetts,2020-04-07,35,ihme,0.19999999999999996,0,0.5
Kansas,Connecticut,2020-04-07,17,ihme,0.19999999999999996,0,0.5
Iowa,New Jersey,2020-04-07,56,ihme,0.19999999999999996,0,0.5
Indiana,Oregon,2020-04-07,12,ihme,0.19999999999999996,0,0.5
Indiana,Idaho,2020-04-07,41,ihme,0.19999999999999996,0,0.5
Idaho,Massachusetts,2020-04-07,20,ihme,0.19999999999999996,0,0.5
Hawaii,New Jersey,2020-04-07,25,ihme,0.19999999999999996,0,0.5
Georgia,New York,2020-04-07,189,ihme,0.19999999999999996,0,0.5
Georgia,Massachusetts,2020-04-07,26,ihme,0.19999999999999996,0,0.5
Georgia,Connecticut,2020-04-07,1,ihme,0.19999999999999996,0,0.5
Florida,New Jersey,2020-04-07,492,ihme,0.19999999999999996,0,0.5
Delaware,New Jersey,2020-04-07,21,ihme,0.19999999999999996,0,0.5
Colorado,Massachusetts,2020-04-07,104,ihme,0.19999999999999996,0,0.5
California,New Jersey,2020-04-07,698,ihme,0.19999999999999996,0,0.5
Arkansas,Idaho,2020-04-07,65,ihme,0.19999999999999996,0,0.5
Arizona,New Jersey,2020-04-07,149,ihme,0.19999999999999996,0,0.5
Alabama,Massachusetts,2020-04-07,94,ihme,0.19999999999999996,0,0.5
Wisconsin,Alaska,2020-04-08,1,ihme,0.19999999999999996,0,0.5
Washington,Maryland,2020-04-08,32,ihme,0.19999999999999996,0,0.5
Virginia,California,2020-04-08,1,ihme,0.19999999999999996,0,0.5
New Mexico,Maryland,2020-04-08,1,ihme,0.19999999999999996,0,0.5
Minnesota,Idaho,2020-04-08,1,ihme,0.19999999999999996,0,0.5
Kentucky,North Dakota,2020-04-08,8,ihme,0.19999999999999996,0,0.5
Wisconsin,Alaska,2020-04-09,9,ihme,0.19999999999999996,0,0.5
West Virginia,New Mexico,2020-04-09,2,ihme,0.19999999999999996,0,0.5
Vermont,Illinois,2020-04-09,2,ihme,0.19999999999999996,0,0.5
Pennsylvania,Illinois,2020-04-09,1,ihme,0.19999999999999996,0,0.5
Minnesota,Nevada,2020-04-09,22,ihme,0.19999999999999996,0,0.5
Kentucky,North Dakota,2020-04-09,16,ihme,0.19999999999999996,0,0.5
West Virginia,New Mexico,2020-04-10,6,ihme,0.19999999999999996,0,0.5
Washington,Illinois,2020-04-10,1,ihme,0.19999999999999996,0,0.5
Utah,Connecticut,2020-04-10,106,ihme,0.19999999999999996,0,0.5
Pennsylvania,Illinois,2020-04-10,1,ihme,0.19999999999999996,0,0.5
Oregon,Illinois,2020-04-10,14,ihme,0.19999999999999996,0,0.5
