State,Date,Supply_Excess,Supply,Demand,DataSource,Fmax,Buffer,SurgeCorrection
Alabama,2020-04-15,389,472,83,ode,1000,1000,1000
Alaska,2020-04-15,48.5,53.5,5,ode,1000,1000,1000
Arizona,2020-04-15,673.5,745.5,72,ode,1000,1000,1000
Arkansas,2020-04-15,304.5,327.5,23,ode,1000,1000,1000
California,2020-04-15,3010,3494,484,ode,1000,1000,1000
Colorado,2020-04-15,385.5,522.5,137,ode,1000,1000,1000
Connecticut,2020-04-15,40,343,303,ode,1000,1000,1000
Delaware,2020-04-15,61.5,108.5,47,ode,1000,1000,1000
Florida,2020-04-15,2004,2460,456,ode,1000,1000,1000
Georgia,2020-04-15,867,1147,280,ode,1000,1000,1000
Hawaii,2020-04-15,116.5,125.5,9,ode,1000,1000,1000
Idaho,2020-04-15,72.5,103.5,31,ode,1000,1000,1000
Illinois,2020-04-15,662,1141,479,ode,1000,1000,1000
Indiana,2020-04-15,579,764,185,ode,1000,1000,1000
Iowa,2020-04-15,241.5,280.5,39,ode,1000,1000,1000
Kansas,2020-04-15,235.5,262.5,27,ode,1000,1000,1000
Kentucky,2020-04-15,445.5,488.5,43,ode,1000,1000,1000
Louisiana,2020-04-15,115.5,568.5,453,ode,1000,1000,1000
Maine,2020-04-15,97.5,108.5,11,ode,1000,1000,1000
Maryland,2020-04-15,273,499,226,ode,1000,1000,1000
Massachusetts,2020-04-15,128,741,613,ode,1000,1000,1000
Michigan,2020-04-15,445,933,488,ode,1000,1000,1000
Minnesota,2020-04-15,404,431,27,ode,1000,1000,1000
Mississippi,2020-04-15,322.5,385.5,63,ode,1000,1000,1000
Missouri,2020-04-15,636.5,736.5,100,ode,1000,1000,1000
Montana,2020-04-15,78.5,85.5,7,ode,1000,1000,1000
Nebraska,2020-04-15,229,247,18,ode,1000,1000,1000
Nevada,2020-04-15,373.5,429.5,56,ode,1000,1000,1000
New Hampshire,2020-04-15,87,107,20,ode,1000,1000,1000
New Jersey,2020-04-15,-630,751,1381,ode,1000,1000,1000
New Mexico,2020-04-15,156.5,186.5,30,ode,1000,1000,1000
New York,2020-04-15,-1291,2262,3553,ode,1000,1000,1000
North Carolina,2020-04-15,878,980,102,ode,1000,1000,1000
North Dakota,2020-04-15,95,102,7,ode,1000,1000,1000
Ohio,2020-04-15,1245.5,1382.5,137,ode,1000,1000,1000
Oklahoma,2020-04-15,349.5,390.5,41,ode,1000,1000,1000
Oregon,2020-04-15,249,277,28,ode,1000,1000,1000
Pennsylvania,2020-04-15,921.5,1518.5,597,ode,1000,1000,1000
Rhode Island,2020-04-15,26.5,98.5,72,ode,1000,1000,1000
South Carolina,2020-04-15,454,528,74,ode,1000,1000,1000
South Dakota,2020-04-15,58,81,23,ode,1000,1000,1000
Tennessee,2020-04-15,710,816,106,ode,1000,1000,1000
Texas,2020-04-15,2784.5,3124.5,340,ode,1000,1000,1000
Utah,2020-04-15,244.5,291.5,47,ode,1000,1000,1000
Vermont,2020-04-15,32,45,13,ode,1000,1000,1000
Virginia,2020-04-15,576.5,711.5,135,ode,1000,1000,1000
Washington,2020-04-15,306.5,473.5,167,ode,1000,1000,1000
West Virginia,2020-04-15,251,266,15,ode,1000,1000,1000
Wisconsin,2020-04-15,380.5,442.5,62,ode,1000,1000,1000
Wyoming,2020-04-15,55,60,5,ode,1000,1000,1000
Alabama,2020-04-16,386,472,86,ode,1000,1000,1000
Alaska,2020-04-16,48.5,53.5,5,ode,1000,1000,1000
Arizona,2020-04-16,673.5,745.5,72,ode,1000,1000,1000
Arkansas,2020-04-16,305.5,327.5,22,ode,1000,1000,1000
California,2020-04-16,3005,3494,489,ode,1000,1000,1000
Colorado,2020-04-16,386.5,522.5,136,ode,1000,1000,1000
Connecticut,2020-04-16,32,343,311,ode,1000,1000,1000
Delaware,2020-04-16,58.5,108.5,50,ode,1000,1000,1000
Florida,2020-04-16,1996,2460,464,ode,1000,1000,1000
Georgia,2020-04-16,863,1147,284,ode,1000,1000,1000
Hawaii,2020-04-16,117.5,125.5,8,ode,1000,1000,1000
Idaho,2020-04-16,72.5,103.5,31,ode,1000,1000,1000
Illinois,2020-04-16,651,1141,490,ode,1000,1000,1000
Indiana,2020-04-16,574,764,190,ode,1000,1000,1000
Iowa,2020-04-16,240.5,280.5,40,ode,1000,1000,1000
Kansas,2020-04-16,235.5,262.5,27,ode,1000,1000,1000
Kentucky,2020-04-16,444.5,488.5,44,ode,1000,1000,1000
Louisiana,2020-04-16,112.5,568.5,456,ode,1000,1000,1000
Maine,2020-04-16,97.5,108.5,11,ode,1000,1000,1000
Maryland,2020-04-16,262,499,237,ode,1000,1000,1000
Massachusetts,2020-04-16,110,741,631,ode,1000,1000,1000
Michigan,2020-04-16,446,933,487,ode,1000,1000,1000
Minnesota,2020-04-16,404,431,27,ode,1000,1000,1000
Mississippi,2020-04-16,320.5,385.5,65,ode,1000,1000,1000
Missouri,2020-04-16,633.5,736.5,103,ode,1000,1000,1000
Montana,2020-04-16,78.5,85.5,7,ode,1000,1000,1000
Nebraska,2020-04-16,229,247,18,ode,1000,1000,1000
Nevada,2020-04-16,373.5,429.5,56,ode,1000,1000,1000
New Hampshire,2020-04-16,87,107,20,ode,1000,1000,1000
New Jersey,2020-04-16,-652,751,1403,ode,1000,1000,1000
New Mexico,2020-04-16,155.5,186.5,31,ode,1000,1000,1000
New York,2020-04-16,-1292,2262,3554,ode,1000,1000,1000
North Carolina,2020-04-16,876,980,104,ode,1000,1000,1000
North Dakota,2020-04-16,95,102,7,ode,1000,1000,1000
Ohio,2020-04-16,1244.5,1382.5,138,ode,1000,1000,1000
Oklahoma,2020-04-16,349.5,390.5,41,ode,1000,1000,1000
Oregon,2020-04-16,250,277,27,ode,1000,1000,1000
Pennsylvania,2020-04-16,901.5,1518.5,617,ode,1000,1000,1000
Rhode Island,2020-04-16,22.5,98.5,76,ode,1000,1000,1000
South Carolina,2020-04-16,453,528,75,ode,1000,1000,1000
South Dakota,2020-04-16,57,81,24,ode,1000,1000,1000
Tennessee,2020-04-16,708,816,108,ode,1000,1000,1000
Texas,2020-04-16,2771.5,3124.5,353,ode,1000,1000,1000
Utah,2020-04-16,243.5,291.5,48,ode,1000,1000,1000
Vermont,2020-04-16,32,45,13,ode,1000,1000,1000
Virginia,2020-04-16,571.5,711.5,140,ode,1000,1000,1000
Washington,2020-04-16,307.5,473.5,166,ode,1000,1000,1000
West Virginia,2020-04-16,250,266,16,ode,1000,1000,1000
Wisconsin,2020-04-16,380.5,442.5,62,ode,1000,1000,1000
Wyoming,2020-04-16,55,60,5,ode,1000,1000,1000
Alabama,2020-04-17,384,472,88,ode,1000,1000,1000
Alaska,2020-04-17,48.5,53.5,5,ode,1000,1000,1000
Arizona,2020-04-17,673.5,745.5,72,ode,1000,1000,1000
Arkansas,2020-04-17,305.5,327.5,22,ode,1000,1000,1000
California,2020-04-17,3003,3494,491,ode,1000,1000,1000
Colorado,2020-04-17,387.5,522.5,135,ode,1000,1000,1000
Connecticut,2020-04-17,25,343,318,ode,1000,1000,1000
Delaware,2020-04-17,55.5,108.5,53,ode,1000,1000,1000
Florida,2020-04-17,1989,2460,471,ode,1000,1000,1000
Georgia,2020-04-17,860,1147,287,ode,1000,1000,1000
Hawaii,2020-04-17,117.5,125.5,8,ode,1000,1000,1000
Idaho,2020-04-17,73.5,103.5,30,ode,1000,1000,1000
Illinois,2020-04-17,643,1141,498,ode,1000,1000,1000
Indiana,2020-04-17,571,764,193,ode,1000,1000,1000
Iowa,2020-04-17,239.5,280.5,41,ode,1000,1000,1000
Kansas,2020-04-17,235.5,262.5,27,ode,1000,1000,1000
Kentucky,2020-04-17,443.5,488.5,45,ode,1000,1000,1000
Louisiana,2020-04-17,111.5,568.5,457,ode,1000,1000,1000
Maine,2020-04-17,97.5,108.5,11,ode,1000,1000,1000
Maryland,2020-04-17,252,499,247,ode,1000,1000,1000
Massachusetts,2020-04-17,95,741,646,ode,1000,1000,1000
Michigan,2020-04-17,450,933,483,ode,1000,1000,1000
Minnesota,2020-04-17,404,431,27,ode,1000,1000,1000
Mississippi,2020-04-17,319.5,385.5,66,ode,1000,1000,1000
Missouri,2020-04-17,631.5,736.5,105,ode,1000,1000,1000
Montana,2020-04-17,79.5,85.5,6,ode,1000,1000,1000
Nebraska,2020-04-17,229,247,18,ode,1000,1000,1000
Nevada,2020-04-17,373.5,429.5,56,ode,1000,1000,1000
New Hampshire,2020-04-17,87,107,20,ode,1000,1000,1000
New Jersey,2020-04-17,-668,751,1419,ode,1000,1000,1000
New Mexico,2020-04-17,154.5,186.5,32,ode,1000,1000,1000
New York,2020-04-17,-1280,2262,3542,ode,1000,1000,1000
North Carolina,2020-04-17,875,980,105,ode,1000,1000,1000
North Dakota,2020-04-17,95,102,7,ode,1000,1000,1000
Ohio,2020-04-17,1244.5,1382.5,138,ode,1000,1000,1000
Oklahoma,2020-04-17,349.5,390.5,41,ode,1000,1000,1000
Oregon,2020-04-17,250,277,27,ode,1000,1000,1000
Pennsylvania,2020-04-17,884.5,1518.5,634,ode,1000,1000,1000
Rhode Island,2020-04-17,18.5,98.5,80,ode,1000,1000,1000
South Carolina,2020-04-17,452,528,76,ode,1000,1000,1000
South Dakota,2020-04-17,56,81,25,ode,1000,1000,1000
Tennessee,2020-04-17,707,816,109,ode,1000,1000,1000
Texas,2020-04-17,2758.5,3124.5,366,ode,1000,1000,1000
Utah,2020-04-17,243.5,291.5,48,ode,1000,1000,1000
Vermont,2020-04-17,32,45,13,ode,1000,1000,1000
Virginia,2020-04-17,566.5,711.5,145,ode,1000,1000,1000
Washington,2020-04-17,309.5,473.5,164,ode,1000,1000,1000
West Virginia,2020-04-17,250,266,16,ode,1000,1000,1000
Wisconsin,2020-04-17,381.5,442.5,61,ode,1000,1000,1000
Wyoming,2020-04-17,55,60,5,ode,1000,1000,1000
Alabama,2020-04-18,382,472,90,ode,1000,1000,1000
Alaska,2020-04-18,48.5,53.5,5,ode,1000,1000,1000
Arizona,2020-04-18,673.5,745.5,72,ode,1000,1000,1000
Arkansas,2020-04-18,305.5,327.5,22,ode,1000,1000,1000
California,2020-04-18,3002,3494,492,ode,1000,1000,1000
Colorado,2020-04-18,388.5,522.5,134,ode,1000,1000,1000
Connecticut,2020-04-18,20,343,323,ode,1000,1000,1000
Delaware,2020-04-18,52.5,108.5,56,ode,1000,1000,1000
Florida,2020-04-18,1983,2460,477,ode,1000,1000,1000
Georgia,2020-04-18,859,1147,288,ode,1000,1000,1000
Hawaii,2020-04-18,117.5,125.5,8,ode,1000,1000,1000
Idaho,2020-04-18,73.5,103.5,30,ode,1000,1000,1000
Illinois,2020-04-18,636,1141,505,ode,1000,1000,1000
Indiana,2020-04-18,568,764,196,ode,1000,1000,1000
Iowa,2020-04-18,238.5,280.5,42,ode,1000,1000,1000
Kansas,2020-04-18,235.5,262.5,27,ode,1000,1000,1000
Kentucky,2020-04-18,442.5,488.5,46,ode,1000,1000,1000
Louisiana,2020-04-18,112.5,568.5,456,ode,1000,1000,1000
Maine,2020-04-18,97.5,108.5,11,ode,1000,1000,1000
Maryland,2020-04-18,243,499,256,ode,1000,1000,1000
Massachusetts,2020-04-18,82,741,659,ode,1000,1000,1000
Michigan,2020-04-18,456,933,477,ode,1000,1000,1000
Minnesota,2020-04-18,405,431,26,ode,1000,1000,1000
Mississippi,2020-04-18,317.5,385.5,68,ode,1000,1000,1000
