utilization,only_send_excess,minimum_stock_fraction,transfer_count,shortfall
0.1,true,0.7,8,7
0.1,true,0.8,12,7
0.1,true,0.9,18,21
0.1,true,1,0,26771.09997529018
0.1,false,0.7,22,7
0.1,false,0.8,19,7
0.1,false,0.9,19,21
0.1,false,1,0,26771.100000000002
0.3,true,0.7,18,7
0.3,true,0.8,23,21
0.3,true,0.9,35,51.00000001908313
0.3,true,1,0,64430.60000000002
0.3,false,0.7,22,7
0.3,false,0.8,23,21
0.3,false,0.9,38,51
0.3,false,1,0,64430.60000000002
0.5,true,0.7,28,1239
0.5,true,0.8,39,1266.0000000000002
0.5,true,0.9,46,18302.10000000001
0.5,true,1,0,116880
0.5,false,0.7,32,1239
0.5,false,0.8,42,1266
0.5,false,0.9,44,18302.10000000001
0.5,false,1,0,116880
