State,Date,Supply_Excess,Supply,Demand,DataSource,Fmax,Buffer,SurgeCorrection
Wyoming,2020-04-07,59,60,1,ihme,1000,1000,1000
Wisconsin,2020-04-07,303.5,442.5,139,ihme,1000,1000,1000
West Virginia,2020-04-07,253,266,13,ihme,1000,1000,1000
Washington,2020-04-07,312.5,473.5,161,ihme,1000,1000,1000
Virginia,2020-04-07,534.5,711.5,177,ihme,1000,1000,1000
Vermont,2020-04-07,36,45,9,ihme,1000,1000,1000
Utah,2020-04-07,271.5,291.5,20,ihme,1000,1000,1000
Texas,2020-04-07,2850.5,3124.5,274,ihme,1000,1000,1000
Tennessee,2020-04-07,677,816,139,ihme,1000,1000,1000
South Dakota,2020-04-07,78,81,3,ihme,1000,1000,1000
South Carolina,2020-04-07,468,528,60,ihme,1000,1000,1000
Rhode Island,2020-04-07,39.5,98.5,59,ihme,1000,1000,1000
Pennsylvania,2020-04-07,1291.5,1518.5,227,ihme,1000,1000,1000
Oregon,2020-04-07,253,277,24,ihme,1000,1000,1000
Oklahoma,2020-04-07,282.5,390.5,108,ihme,1000,1000,1000
Ohio,2020-04-07,1165.5,1382.5,217,ihme,1000,1000,1000
North Dakota,2020-04-07,10,102,92,ihme,1000,1000,1000
North Carolina,2020-04-07,841,980,139,ihme,1000,1000,1000
New York,2020-04-07,-3332,2262,5594,ihme,1000,1000,1000
New Mexico,2020-04-07,117.5,186.5,69,ihme,1000,1000,1000
New Jersey,2020-04-07,-1925,751,2676,ihme,1000,1000,1000
New Hampshire,2020-04-07,101,107,6,ihme,1000,1000,1000
Nevada,2020-04-07,246.5,429.5,183,ihme,1000,1000,1000
Nebraska,2020-04-07,213,247,34,ihme,1000,1000,1000
Montana,2020-04-07,80.5,85.5,5,ihme,1000,1000,1000
Missouri,2020-04-07,688.5,736.5,48,ihme,1000,1000,1000
Mississippi,2020-04-07,335.5,385.5,50,ihme,1000,1000,1000
Minnesota,2020-04-07,356,431,75,ihme,1000,1000,1000
Michigan,2020-04-07,-427,933,1360,ihme,1000,1000,1000
Massachusetts,2020-04-07,-308,741,1049,ihme,1000,1000,1000
Maryland,2020-04-07,163,499,336,ihme,1000,1000,1000
Maine,2020-04-07,79.5,108.5,29,ihme,1000,1000,1000
Louisiana,2020-04-07,327.5,568.5,241,ihme,1000,1000,1000
Kentucky,2020-04-07,360.5,488.5,128,ihme,1000,1000,1000
Kansas,2020-04-07,222.5,262.5,40,ihme,1000,1000,1000
Iowa,2020-04-07,243.5,280.5,37,ihme,1000,1000,1000
Indiana,2020-04-07,402,764,362,ihme,1000,1000,1000
Illinois,2020-04-07,194,1141,947,ihme,1000,1000,1000
Idaho,2020-04-07,84.5,103.5,19,ihme,1000,1000,1000
Hawaii,2020-04-07,78.5,125.5,47,ihme,1000,1000,1000
Georgia,2020-04-07,655,1147,492,ihme,1000,1000,1000
Florida,2020-04-07,1817,2460,643,ihme,1000,1000,1000
Delaware,2020-04-07,87.5,108.5,21,ihme,1000,1000,1000
Connecticut,2020-04-07,-205,343,548,ihme,1000,1000,1000
Colorado,2020-04-07,404.5,522.5,118,ihme,1000,1000,1000
California,2020-04-07,2996,3494,498,ihme,1000,1000,1000
Arkansas,2020-04-07,293.5,327.5,34,ihme,1000,1000,1000
Arizona,2020-04-07,668.5,745.5,77,ihme,1000,1000,1000
Alaska,2020-04-07,-46.5,53.5,100,ihme,1000,1000,1000
Alabama,2020-04-07,308,472,164,ihme,1000,1000,1000
Wyoming,2020-04-08,58,60,2,ihme,1000,1000,1000
Wisconsin,2020-04-08,289.5,442.5,153,ihme,1000,1000,1000
West Virginia,2020-04-08,248,266,18,ihme,1000,1000,1000
Washington,2020-04-08,313.5,473.5,160,ihme,1000,1000,1000
Virginia,2020-04-08,509.5,711.5,202,ihme,1000,1000,1000
Vermont,2020-04-08,36,45,9,ihme,1000,1000,1000
Utah,2020-04-08,268.5,291.5,23,ihme,1000,1000,1000
Texas,2020-04-08,2817.5,3124.5,307,ihme,1000,1000,1000
Tennessee,2020-04-08,665,816,151,ihme,1000,1000,1000
South Dakota,2020-04-08,77,81,4,ihme,1000,1000,1000
South Carolina,2020-04-08,464,528,64,ihme,1000,1000,1000
Rhode Island,2020-04-08,33.5,98.5,65,ihme,1000,1000,1000
Pennsylvania,2020-04-08,1279.5,1518.5,239,ihme,1000,1000,1000
Oregon,2020-04-08,251,277,26,ihme,1000,1000,1000
Oklahoma,2020-04-08,272.5,390.5,118,ihme,1000,1000,1000
Ohio,2020-04-08,1159.5,1382.5,223,ihme,1000,1000,1000
North Dakota,2020-04-08,4,102,98,ihme,1000,1000,1000
North Carolina,2020-04-08,824,980,156,ihme,1000,1000,1000
New York,2020-04-08,-3402,2262,5664,ihme,1000,1000,1000
New Mexico,2020-04-08,105.5,186.5,81,ihme,1000,1000,1000
New Jersey,2020-04-08,-2213,751,2964,ihme,1000,1000,1000
New Hampshire,2020-04-08,100,107,7,ihme,1000,1000,1000
Nevada,2020-04-08,220.5,429.5,209,ihme,1000,1000,1000
