utilization,only_send_excess,minimum_stock_fraction,transfer_count,shortfall
0.1,true,0.1,7,7
0.1,true,0.2,7,7
0.1,true,0.3,6,7
0.1,true,0.4,6,7
0.1,true,0.5,6,7
0.1,true,0.6,7,7
0.1,true,0.7,8,7
0.1,true,0.8,12,7
0.1,true,0.9,18,21
0.1,true,1,0,26771.09997529018
0.1,false,0.1,11,7
0.1,false,0.2,16,7
0.1,false,0.3,13,7
0.1,false,0.4,16,7
0.1,false,0.5,16,7
0.1,false,0.6,25,7
0.1,false,0.7,22,7
0.1,false,0.8,19,7
0.1,false,0.9,19,21
0.1,false,1,0,26771.100000000002
0.2,true,0.1,10,7
0.2,true,0.2,9,7
0.2,true,0.3,10,7
0.2,true,0.4,8,7
0.2,true,0.5,10,7
0.2,true,0.6,13,7
0.2,true,0.7,15,7
0.2,true,0.8,16,7
0.2,true,0.9,23,21
0.2,true,1,0,43793.399943769626
0.2,false,0.1,24,7
0.2,false,0.2,24,7
0.2,false,0.3,13,7
0.2,false,0.4,19,7
0.2,false,0.5,23,7
0.2,false,0.6,25,7
0.2,false,0.7,21,7
0.2,false,0.8,17,7
0.2,false,0.9,26,21
0.2,false,1,0,43793.39999999997
0.3,true,0.1,20,7
0.3,true,0.2,16,7
0.3,true,0.3,14,7
0.3,true,0.4,18,7
0.3,true,0.5,17,7
0.3,true,0.6,19,7
0.3,true,0.7,18,7
0.3,true,0.8,23,21
0.3,true,0.9,35,51.00000001908313
0.3,true,1,0,64430.60000000002
0.3,false,0.1,23,7
0.3,false,0.2,22,7
0.3,false,0.3,18,7
0.3,false,0.4,29,7
0.3,false,0.5,22,7
0.3,false,0.6,25,7
0.3,false,0.7,22,7
0.3,false,0.8,23,21
0.3,false,0.9,38,51
0.3,false,1,0,64430.60000000002
0.4,true,0.1,31,134.60000004842823
0.4,true,0.2,23,134.59999999999945
0.4,true,0.3,19,134.5999999999999
0.4,true,0.4,19,134.5999999999999
0.4,true,0.5,28,134.5999999999999
0.4,true,0.6,23,142.5999999999999
