State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Pennsylvania,New York,2020-04-15,304,ode,0.19999999999999996,0,0
Ohio,New York,2020-04-15,277,ode,0.19999999999999996,0,0
North Carolina,New Jersey,2020-04-15,196,ode,0.19999999999999996,0,0
Michigan,New York,2020-04-15,187,ode,0.19999999999999996,0,0
Indiana,New York,2020-04-15,153,ode,0.19999999999999996,0,0
Virginia,New Jersey,2020-04-15,143,ode,0.19999999999999996,0,0
South Carolina,New Jersey,2020-04-15,106,ode,0.19999999999999996,0,0
Maryland,New Jersey,2020-04-15,100,ode,0.19999999999999996,0,0
Georgia,New Jersey,2020-04-15,98,ode,0.19999999999999996,0,0
Kentucky,New York,2020-04-15,98,ode,0.19999999999999996,0,0
Massachusetts,New York,2020-04-15,54,ode,0.19999999999999996,0,0
West Virginia,New York,2020-04-15,52,ode,0.19999999999999996,0,0
Delaware,New Jersey,2020-04-15,22,ode,0.19999999999999996,0,0
Maine,New York,2020-04-15,22,ode,0.19999999999999996,0,0
New Hampshire,New York,2020-04-15,22,ode,0.19999999999999996,0,0
Connecticut,New Jersey,2020-04-15,12,ode,0.19999999999999996,0,0
Vermont,New York,2020-04-15,9,ode,0.19999999999999996,0,0
West Virginia,New Jersey,2020-04-15,2,ode,0.19999999999999996,0,0
Massachusetts,Rhode Island,2020-04-24,1,ode,0.19999999999999996,0,0
Pennsylvania,New York,2020-04-15,304,ode,0.19999999999999996,0,0.5
Ohio,New York,2020-04-15,277,ode,0.19999999999999996,0,0.5
North Carolina,New Jersey,2020-04-15,196,ode,0.19999999999999996,0,0.5
Michigan,New York,2020-04-15,187,ode,0.19999999999999996,0,0.5
Virginia,New Jersey,2020-04-15,143,ode,0.19999999999999996,0,0.5
South Carolina,New Jersey,2020-04-15,106,ode,0.19999999999999996,0,0.5
Maryland,New Jersey,2020-04-15,100,ode,0.19999999999999996,0,0.5
West Virginia,New Jersey,2020-04-15,54,ode,0.19999999999999996,0,0.5
Massachusetts,New Jersey,2020-04-15,46,ode,0.19999999999999996,0,0.5
Delaware,New Jersey,2020-04-15,22,ode,0.19999999999999996,0,0.5
Maine,New York,2020-04-15,22,ode,0.19999999999999996,0,0.5
New Hampshire,New York,2020-04-15,22,ode,0.19999999999999996,0,0.5
Connecticut,New Jersey,2020-04-15,12,ode,0.19999999999999996,0,0.5
Vermont,New York,2020-04-15,9,ode,0.19999999999999996,0,0.5
Massachusetts,New York,2020-04-15,8,ode,0.19999999999999996,0,0.5
Pennsylvania,New York,2020-04-15,304,ode,0.19999999999999996,0,0.75
Ohio,New York,2020-04-15,277,ode,0.19999999999999996,0,0.75
North Carolina,New Jersey,2020-04-15,196,ode,0.19999999999999996,0,0.75
Michigan,New York,2020-04-15,187,ode,0.19999999999999996,0,0.75
Virginia,New Jersey,2020-04-15,143,ode,0.19999999999999996,0,0.75
South Carolina,New Jersey,2020-04-15,106,ode,0.19999999999999996,0,0.75
Maryland,New Jersey,2020-04-15,100,ode,0.19999999999999996,0,0.75
West Virginia,New Jersey,2020-04-15,54,ode,0.19999999999999996,0,0.75
Massachusetts,New Jersey,2020-04-15,46,ode,0.19999999999999996,0,0.75
Delaware,New Jersey,2020-04-15,22,ode,0.19999999999999996,0,0.75
Maine,New York,2020-04-15,22,ode,0.19999999999999996,0,0.75
New Hampshire,New York,2020-04-15,22,ode,0.19999999999999996,0,0.75
Connecticut,New Jersey,2020-04-15,12,ode,0.19999999999999996,0,0.75
Vermont,New York,2020-04-15,9,ode,0.19999999999999996,0,0.75
Massachusetts,New York,2020-04-15,8,ode,0.19999999999999996,0,0.75
Pennsylvania,New York,2020-04-15,304,ode,0.19999999999999996,0,0.9
Ohio,New York,2020-04-15,277,ode,0.19999999999999996,0,0.9
North Carolina,New Jersey,2020-04-15,196,ode,0.19999999999999996,0,0.9
