State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection,Lasso
Maine,Connecticut,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.0
New Hampshire,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.0
North Dakota,Massachusetts,2020-04-09,11.0,ihme,0.09999999999999998,0.1,0.5,0.0
Idaho,Connecticut,2020-04-09,10.0,ihme,0.09999999999999998,0.1,0.5,0.0
Montana,New York,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.0
South Dakota,Connecticut,2020-04-09,9.0,ihme,0.09999999999999998,0.1,0.5,0.0
Louisiana,New Jersey,2020-04-09,7.0,ihme,0.09999999999999998,0.1,0.5,0.0
Wyoming,New York,2020-04-09,6.0,ihme,0.09999999999999998,0.1,0.5,0.0
Alaska,New York,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Vermont,Connecticut,2020-04-09,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,New Jersey,2020-04-12,154.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-12,71.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,New Jersey,2020-04-13,164.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-13,61.0,ihme,0.09999999999999998,0.1,0.5,0.0
Michigan,North Dakota,2020-04-13,16.0,ihme,0.09999999999999998,0.1,0.5,0.0
Michigan,Rhode Island,2020-04-13,12.0,ihme,0.09999999999999998,0.1,0.5,0.0
Michigan,New Jersey,2020-04-13,11.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,New Jersey,2020-04-14,162.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-14,63.0,ihme,0.09999999999999998,0.1,0.5,0.0
Michigan,Rhode Island,2020-04-14,55.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-15,113.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,New Jersey,2020-04-15,102.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Rhode Island,2020-04-15,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,North Dakota,2020-04-15,3.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-15,2.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-16,151.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Connecticut,2020-04-16,114.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-16,58.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Alaska,2020-04-16,10.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Maryland,2020-04-16,6.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Rhode Island,2020-04-16,2.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-17,99.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Maryland,2020-04-17,57.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-17,51.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Rhode Island,2020-04-17,20.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,North Dakota,2020-04-17,14.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Alaska,2020-04-17,4.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-18,153.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-18,65.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Maryland,2020-04-18,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Alaska,2020-04-18,2.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-19,49.0,ihme,0.09999999999999998,0.1,0.5,0.0
New Jersey,Rhode Island,2020-04-19,27.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,North Dakota,2020-04-19,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Connecticut,2020-04-20,60.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,Massachusetts,2020-04-21,10.0,ihme,0.09999999999999998,0.1,0.5,0.0
Federal,North Dakota,2020-04-22,5.0,ihme,0.09999999999999998,0.1,0.5,0.0
Alaska,Michigan,2020-04-27,16.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,South Dakota,2020-04-30,37.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Oregon,2020-05-06,249.0,ihme,0.09999999999999998,0.1,0.5,0.0
Oregon,Delaware,2020-05-12,97.0,ihme,0.09999999999999998,0.1,0.5,0.0
South Dakota,Illinois,2020-05-12,37.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Minnesota,2020-05-13,387.0,ihme,0.09999999999999998,0.1,0.5,0.0
Connecticut,California,2020-05-17,971.0,ihme,0.09999999999999998,0.1,0.5,0.0
Rhode Island,Connecticut,2020-05-17,156.0,ihme,0.09999999999999998,0.1,0.5,0.0
Oregon,Connecticut,2020-05-17,152.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Iowa,2020-05-17,131.0,ihme,0.09999999999999998,0.1,0.5,0.0
Illinois,Florida,2020-05-17,37.0,ihme,0.09999999999999998,0.1,0.5,0.0
Massachusetts,New Jersey,2020-05-18,675.0,ihme,0.09999999999999998,0.1,0.5,0.0
New York,Alabama,2020-05-18,424.0,ihme,0.09999999999999998,0.1,0.5,0.0
New Jersey,Massachusetts,2020-05-18,423.0,ihme,0.09999999999999998,0.1,0.5,0.0
Massachusetts,Virginia,2020-05-18,421.0,ihme,0.09999999999999998,0.1,0.5,0.0
Minnesota,Wisconsin,2020-05-18,387.0,ihme,0.09999999999999998,0.1,0.5,0.0
Maryland,Oregon,2020-05-18,68.0,ihme,0.09999999999999998,0.1,0.5,0.0
North Dakota,Wyoming,2020-05-18,43.0,ihme,0.09999999999999998,0.1,0.5,0.0
Michigan,Washington,2020-05-18,16.0,ihme,0.09999999999999998,0.1,0.5,0.0
New Jersey,North Carolina,2020-05-19,882.0,ihme,0.09999999999999998,0.1,0.5,0.0
New Jersey,Rhode Island,2020-05-19,88.0,ihme,0.09999999999999998,0.1,0.5,0.0
Rhode Island,Iowa,2020-05-19,36.0,ihme,0.09999999999999998,0.1,0.5,0.0
Iowa,North Dakota,2020-05-20,91.0,ihme,0.09999999999999998,0.1,0.5,0.0
Iowa,Vermont,2020-05-20,40.0,ihme,0.09999999999999998,0.1,0.5,0.0
California,New York,2020-04-09,350.0,ihme,0.09999999999999998,0.1,0.5,0.01
Texas,Connecticut,2020-04-09,246.0,ihme,0.09999999999999998,0.1,0.5,0.01
