"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",0,43.791887020543,24.9273909108033,5.94795974599694,33.2567921545359,19.7249910055746,16.977170796396,13.2482623766289,6.92106706368317,3.38707943957623,39.5080329657147,29.3112182773081,7.90836274142758,7.48943805435361,11.4530838091756,12.7729716268377,5.1949700874981,5.86308333984773,22.0374088515415,12.1176052209172,18.0470247456471,10.7460597062365,15.8818081212436,3.05680157190485,8.13697075083842,26.682198507994,15.5345139434744,30.7973518739842,18.7775081717463,14.5276555661951,19.2835797221366,15.6817521980166,8.75225671755577,19.8276142833675,8.68857502528464,10.7748559173661,35.1869220833536,12.4770149895718,18.0343036888037,6.32948712772212,17.5006870542273,3.10065566775803,12.0945182293467,25.4281933933577,18.3787790481305,9.89136363551558,36.1758830301349,8.42688088500129,12.4340162135973,23.0190573677551
"Alaska",43.791887020543,0,21.6809956791657,37.845531963496,14.751258990676,24.1716920444143,55.4241935000411,53.3244580853852,50.3297675373133,47.0247461382834,17.5285481429581,14.4825377278984,38.9739384975396,42.1847392891079,34.6591554946164,31.0820446483175,44.1066358387261,39.6305462915918,58.3826967240295,51.5773177826261,56.0941976522528,42.9998690952659,32.7703639128405,40.9477691442403,36.4109092413249,18.0935134509581,28.7701997108119,14.5270041884072,56.1637894138207,53.8235453742133,25.928558019296,52.4625696970707,50.7041193219052,27.2244376230254,45.5573897923268,33.113421437538,8.95099015975328,50.4940324950385,56.6455266300879,49.2886101686789,27.9612976932402,42.9928471828745,33.6036707902574,18.8769978992953,54.9329502724913,50.4226082154622,7.72318455107736,47.8257536104764,37.545748287922,20.9331095673815
"Arizona",24.9273909108033,21.6809956791657,0,19.3326447492318,8.47045842974275,7.56536623369946,39.9540015549131,36.9111605759017,30.6049029902073,28.3143025633689,14.8319780757659,9.62565656773604,22.9986783283301,26.2011173756006,19.8176645576617,14.1475782309199,27.0443000473298,19.6847923019269,44.143233089229,35.3429889903217,40.8649964773032,28.3754638659882,20.9269512471358,21.873020500379,19.5494022399663,12.8128372907799,13.9817448124331,7.15505572375226,41.2653371293632,37.8300948215835,5.68881717407055,37.5540783620102,33.1781190101247,17.398124388853,29.642655531008,14.5580202781834,12.8511952346854,34.8232100227707,41.1663524898673,31.1251874918048,15.620445599598,25.2111655274007,13.1473835701253,4.89599544628056,40.3469874781253,33.5913411266951,15.5014069106646,31.2422599004938,23.990124740401,9.85282976814276
"Arkansas",5.94795974599694,37.845531963496,19.3326447492318,0,27.5327348203915,13.789867122275,21.0885751118941,17.7586208028664,12.6376368946097,9.24281860960173,34.0816474014975,23.3641092721293,6.06585025944426,8.18091017980274,7.28157247303081,6.88643617555554,7.98701719354604,4.11558725943213,25.7361758194569,16.2995568814002,22.079761852203,11.3378831838223,11.8863539615813,3.2323511767752,3.60748270404724,20.8772896947856,9.83561143803475,24.9381512652803,22.6293265980232,18.8074413296971,13.6452242077585,19.1016233535268,13.8475974511826,14.7492273577296,11.147099495833,4.88602609284888,29.2450371700909,16.0813050941147,22.2580497726104,11.8461527138561,12.1383843064059,5.9188194642175,7.29769480452561,19.5266959296754,21.9272778401698,14.3798068850037,30.2382248237227,12.2029588022741,10.1259596098345,17.113591922212
"California",33.2567921545359,14.751258990676,8.47045842974275,27.5327348203915,0,14.4202157043506,47.6847884778783,44.840167084546,39.0600326176259,36.6410480445088,8.05227556719218,9.14173897516221,30.598012653112,33.8750996751301,26.9485221385144,21.7393905721849,35.0160986707543,28.1297361587342,51.5996077762225,43.2142874996222,48.5444004305337,35.7017338514532,27.0312227568418,30.2138643860728,27.3187041575914,14.6671971490807,20.7464687233755,3.89285201876464,48.864429320826,45.6683600375577,13.983228893571,45.1137862921081,41.31943601406,22.4038663127595,37.3590719170056,22.6724537765545,7.37959868082269,42.5482985422449,48.9109060195168,39.3754556896806,21.5138993769145,33.3280306012822,21.6086004324667,8.82612382872572,47.8542729846562,41.5852304485619,10.8890334740968,39.151966361091,30.8502842348332,14.111607090973
"Colorado",19.7249910055746,24.1716920444143,7.56536623369946,13.789867122275,14.4202157043506,0,33.2836033280653,30.5289,26.1626618464177,23.0306213420307,21.8635815064687,9.73291505202835,16.1936088751087,19.4805603636035,12.5711441869863,7.40187341488627,20.7854331155259,15.5006658089258,37.1871539435327,28.8733368771259,34.1326966886591,21.2978779825597,13.3620975617603,16.8141888255128,13.0038244178396,8.99106006486443,6.49220537644952,11.3460980940586,34.4449295375967,31.3058247033999,4.22314606543511,30.6936284621092,27.2399603266965,10.14025995722,22.9686071362632,8.96889739990374,15.4661556635772,28.1513996390943,34.5119344281076,25.5139275778936,8.09548356060341,19.2918441316531,9.91824123975617,5.83276837873749,33.4357363850417,27.3352375577751,16.7050983283547,24.8478322100742,16.6082904963154,4.70728736004081
"Connecticut",16.977170796396,55.4241935000411,39.9540015549131,21.0885751118941,47.6847884778783,33.2836033280653,0,3.92401404813999,16.5891677262604,14.39112968811,54.7841566981732,41.6194446057369,17.0901254231793,13.8100046031853,21.0168991007237,25.9529216206962,13.1019656426049,22.7388488736787,5.25782919844302,4.87353208258651,1.09531556183595,12.425911515056,22.7592489166492,19.5955982210291,20.4180233267082,37.330901185613,27.2337145481479,44.5631240145931,2.04283929128065,2.48484778205829,34.3303833804693,3.18629701220713,8.68663459459415,28.3129840903427,10.3304867378067,25.5037670121494,47.7668307457173,5.13868194189912,1.2329,11.4007139833433,27.5036945143739,15.289656009865,28.3295530527751,39.0519401251718,2.66461916415836,7.09804721596018,47.7460080611982,8.89420746328756,17.8902799041826,34.9291262337036
"Delaware",13.2482623766289,53.3244580853852,36.9111605759017,17.7586208028664,44.840167084546,30.5289,3.92401404813999,0,12.7127240078592,10.5185644120289,51.7318618464482,39.25132957264,14.4587232316688,11.1811710536061,18.6737253085719,23.1329309759918,9.86748546135235,19.0746551489142,9.18039498115413,1.7668331132283,5.01800668094414,10.6781833178683,21.0831250909347,15.9914460062247,17.5329554028977,35.2888075868256,24.7488364352751,41.8690937753613,5.92774285710843,1.48897489904968,31.2416787977215,4.46129882433356,4.77049342206862,26.5381174541451,7.76706918534913,22.3659309173573,45.3862532626345,3.32415334333421,4.83684733064834,7.48848502302035,25.3786282830653,11.8579294402522,24.892390535262,36.348426991687,6.08347371326613,3.40408358446147,45.6082197939143,5.68822231017741,16.1337892635301,32.5667934390231
"Florida",6.92106706368317,50.3297675373133,30.6049029902073,12.6376368946097,39.0600326176259,26.1626618464177,16.5891677262604,12.7127240078592,0,4.76755620942218,44.7332035557482,35.859847701294,14.401706661712,12.9443469379494,18.2837336154299,19.5239015660293,10.0038183794989,10.937135294491,21.8268890877743,12.4671592742693,17.665616972243,15.5541470640469,22.5808549107424,9.43462793172047,15.0558500185144,33.5073524313694,22.400575181901,36.9161635819596,18.6219487637572,14.201216020116,25.139380521405,16.6039873193158,8.20205845931374,26.7311644207655,12.3801857518375,17.2217963064252,41.5971706316668,13.7033310275276,17.3124455499505,5.86441928241834,24.4212825594808,9.14539918702294,17.4582723824553,31.7014448031947,18.7543615449847,10.2961502616269,42.7877481610098,10.5950676378209,18.6701937670716,29.7352823595136
"Georgia",3.38707943957623,47.0247461382834,28.3143025633689,9.24281860960173,36.6410480445088,23.0306213420307,14.39112968811,10.5185644120289,4.76755620942218,0,42.8803620480285,32.5553245809345,9.77721491837016,8.17770428665649,13.8626005226292,15.9494269567906,5.2471051447441,9.06251512991842,19.5905326201204,9.66920799755595,15.4829583581433,10.8827455083724,17.9958770958795,6.4420325069034,10.9344881567452,29.7183221425773,18.5476076551667,34.1557500037695,16.3059441213933,11.9066665628966,22.669964067241,13.5801558875441,5.79535370447741,22.4122644683664,7.92630537514168,14.1115155759401,38.4767111558408,10.4212529457834,15.3554110544134,3.14316356717241,20.2833787372814,4.54776738631166,15.4409343192049,28.7652437590923,16.102637000504,7.35628368267564,39.3784918172344,6.66228539316652,13.9340674926599,26.1769714827747
